record_key,accession,record_source,title,screening_stage,final_decision,exclusion_or_inclusion_reason,analysis_role_if_included,screening_date,audit_stratum,second_pass_rule_check,second_pass_disposition,audit_method,independent_human_confirmation,audit_seed
GSE142025,GSE142025,GEO direct search,Comparison of Kidney Transcriptomic Profiles of Early and Advanced Diabetic Nephropathy Reveals Potential New Mechanisms for Disease Progression,full accession/sample-metadata review,INCLUDED,Eligible human bulk kidney-tissue DKD-versus-non-DKD contrast.,whole/cortical-kidney contextual analysis,2026-08-21,all full records,criterion and recorded reason internally consistent,INCLUDED,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE154881,GSE154881,GEO direct search,"Comparison of Blood Transcriptomic Profiles of Healthy, T2D and  Diabetic Nephropathy (DN) Reveals FTO as a potential target for DN",full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Peripheral blood transcriptome, not kidney tissue.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE158230,GSE158230,GEO direct search,Secretory Leukocyte Peptidase Inhibitor (SLPI) is a Novel Predictor of Tubulointerstitial Injury and Renal Outcome in Patients with Diabetic Nephropathy,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Six-sample mechanistic/fibrosis series without an eligible non-DKD kidney comparator.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE158626,GSE158626,GEO direct search,Targeting Set7 in an experimental model of diabetic nephropathy,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Experimental Set7 knockout/perturbation study; no eligible human kidney-tissue case-control contrast.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE163603,GSE163603,GEO direct search,Transcriptomic Signatures of Kidney Injury in Human Renal Biopsy Specimens,full accession/sample-metadata review,INCLUDED,Eligible human bulk kidney-tissue DKD-versus-non-DKD contrast.,interstitium-only contextual analysis,2026-08-21,all full records,criterion and recorded reason internally consistent,INCLUDED,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE166239,GSE166239,GEO direct search,Partial epithelial-to-mesenchymal transition (EMT) and T cell-mediated inflammation in hypertensive and diabetic nephropathy,full accession/sample-metadata review,INCLUDED,Eligible human bulk kidney-tissue DKD-versus-non-DKD contrast.,whole/cortical-kidney contextual analysis,2026-08-21,all full records,criterion and recorded reason internally consistent,INCLUDED,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE182138,GSE182138,GEO direct search,Transcriptome analysis and weighted gene co-expression network reveal candidate genes and pathways responses to lactate dehydrogenase inhibition (oxamate) in hyperglycemic human renal proximal epithelial tubular cells,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Hyperglycemic renal proximal-tubular cell culture with oxamate perturbation.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE189875,GSE189875,GEO direct search,Neutrophil extracellular traps induce glomerular endothelial cell dysfunction and pyroptosis in diabetic kidney disease,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Glomerular endothelial cell NET perturbation experiment, not a patient tissue case-control cohort.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE192889,GSE192889,GEO direct search,Upregulation of FGF13 promotes type 2 diabetic nephropathy by modulating glomerular endothelial mitochondrial homeostasis,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Mechanistic FGF13 endothelial/animal experiment without an eligible human tissue case-control contrast.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE199838,GSE199838,GEO direct search,RNAs sequencing revealing the gene expression profiling in kidney tissues between diabetic kidney disease and control,full accession/sample-metadata review,INCLUDED,Eligible human bulk kidney-tissue DKD-versus-non-DKD contrast.,small-sample whole/cortical-kidney sensitivity,2026-08-21,all full records,criterion and recorded reason internally consistent,INCLUDED,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE21785,GSE21785,GEO direct search,Systematic analysis of a human renal transcript dataset,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Living-donor glomerulus-versus-tubulointerstitium reference atlas; no DKD case group.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE218929,GSE218929,GEO direct search,Urinary Extracellular Vesicle Whole-Transcriptome Analysis in Diabetic Nephropathy,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Urinary extracellular-vesicle transcriptome, not kidney tissue.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE220226,GSE220226,GEO direct search,Transcriptomic analysis of glomerular endothelial cells and podocytes exposed to methylglyoxal in co-culture,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Glomerular cell co-culture exposed to methylglyoxal, not patient tissue.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE220227,GSE220227,GEO direct search,Transcriptomic analysis of glomerular endothelial cells exposed to high glucose in co-culture with podocytes,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Glomerular endothelial cell high-glucose co-culture, not patient tissue.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE220228,GSE220228,GEO direct search,Transcriptomic analysis of podocytes exposed to high glucose in co-culture with glomerular endothelial cells,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Podocyte high-glucose co-culture, not patient tissue.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE226224,GSE226224,GEO direct search,Human Podocytes Develop “Names” to Practice Self-Avoidance,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Human podocyte culture experiment, not a DKD patient kidney cohort.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE230848,GSE230848,GEO direct search,Interferon-γ signaling in the progression from early to end stage kidney disease in type 2 diabetes,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Early-DKD progression series without a non-DKD kidney comparator for the prespecified contrast.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE255028,GSE255028,GEO direct search,Endothelial Kallikrein-Related Peptidase 8 Promotes Diabetic Nephropathy via Reducing SDC4 Expression and Enhancing LIF Release,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Mechanistic KLK8 animal/endothelial study without an eligible human tissue case-control contrast.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE261545,GSE261545,GEO direct search,Histopathological-based analysis of human kidney spatial transcriptomics data: toward precision pathology,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Single-specimen spatial transcriptomics; outside the bulk-tissue estimand.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE262793,GSE262793,GEO direct search,Integrative transcriptome and proteome profiling of insulin-resistant kidney cell models and patient biopsies reveals common and cell-type-specific mechanisms underpinning Diabetic Kidney Disease,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Deposited experiments are insulin-resistant kidney cell models; patient-biopsy comparisons reuse external cohorts and are not a new independent tissue series.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE265918,GSE265918,GEO direct search,Effect of FGF9 on human renal tubular epithelial cells in high glucose culture,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,FGF9-treated renal tubular epithelial cell culture under high glucose.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE301094,GSE301094,GEO direct search,GDF5 exacerbates tubulointerstitial injury by inducing partial epithelial-mesenchymal transition of tubular epithelial cells in diabetic kidney disease,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Mechanistic GDF5 animal/cell experiment without an eligible human tissue case-control contrast.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE30122,GSE30122,GEO direct search,Transcriptome Analysis of Human Diabetic Kidney Disease,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,SuperSeries represented by eligible compartment subseries GSE30528 and GSE30529; excluded to prevent double counting.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE30528,GSE30528,GEO direct search,Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Glomeruli vs. Control Glomeruli),full accession/sample-metadata review,INCLUDED,Eligible human bulk kidney-tissue DKD-versus-non-DKD contrast.,primary glomerular source study; GSE30122 glomerular subseries,2026-08-21,all full records,criterion and recorded reason internally consistent,INCLUDED,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE30529,GSE30529,GEO direct search,Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Tubuli vs. Control Tubuli),full accession/sample-metadata review,INCLUDED,Eligible human bulk kidney-tissue DKD-versus-non-DKD contrast.,tubulointerstitial contextual source study; GSE30122 subseries,2026-08-21,all full records,criterion and recorded reason internally consistent,INCLUDED,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE30566,GSE30566,GEO direct search,Transcriptome Analysis of Human Diabetic Kidney Disease (Control Glomeruli vs. Control Tubuli),full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Control glomerulus-versus-control tubule contrast; no DKD case group.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE32553,GSE32553,GEO direct search,To investigate how the glycosylation of podocyte proteins changes during diabetic kidney disease,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Cultured podocyte glycosylation experiment, not patient kidney tissue.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE45980,GSE45980,GEO direct search,An integrative analysis of renal miRNA- and mRNA-expression signatures in progressive chronic kidney disease [discovery cohort],full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Mixed-etiology CKD progression cohort; DKD subgroup lacks an eligible non-diseased comparator and adequate group sizes.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE46900,GSE46900,GEO direct search,Cyclodextrin protects podocytes in diabetic kidney disease.,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,SuperSeries of serum-treated podocyte culture experiments; not patient kidney tissue.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE47183,GSE47183,GEO direct search,In silico nano-dissection: defining cell type specificity at transcriptional level in human disease (glomeruli),full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Derived multi-disease composite glomerular dataset; independence from included source cohorts cannot be established.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE47184,GSE47184,GEO direct search,In silico nano-dissection: defining cell type specificity at transcriptional level in human disease (tubulointerstitium),full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Derived multi-disease composite tubulointerstitial dataset; independence from included source cohorts cannot be established.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE47185,GSE47185,GEO direct search,In silico nano-dissection: defining cell type specificity at transcriptional level in human disease,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,SuperSeries of derived composite datasets GSE47183/GSE47184; excluded to prevent double counting.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE51674,GSE51674,GEO direct search,miRNA-27b-3p and miRNA-1228-3p correlate with the progression of Kidney Fibrosis in Diabetic Nephropathy,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"miRNA-only profiling, outside the bulk mRNA transcriptome estimand.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE60860,GSE60860,GEO direct search,An integrative analysis of renal miRNA- and mRNA-expression signatures in progressive chronic kidney disease [validation cohort],full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Mixed-etiology CKD validation cohort; only one DKD sample and no eligible DKD-control contrast.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE60861,GSE60861,GEO direct search,An integrative analysis of renal miRNA- and mRNA-expression signatures in progressive chronic kidney disease,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,SuperSeries of mixed-etiology CKD progression cohorts; no eligible independent DKD-control contrast.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE66494,GSE66494,PubMed accession discovery,Development of gene expression profiles in human chronic kidney disease,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Mixed-etiology CKD cohort without a separable DKD-versus-non-diseased contrast.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE69074,GSE69074,ArrayExpress E-GEOD record not retrieved by direct GEO query,RTN1 IS A NOVEL MEDIATOR FOR PROGRESSION OF KIDNEY DISEASE,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Mechanistic RTN1 animal/cell series without an eligible human tissue case-control contrast.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE69438,GSE69438,GEO direct search,Tissue Transcriptome Driven Identification of Epidermal Growth Factor as a Chronic Kidney Disease Biomarker,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Mixed-etiology CKD biomarker cohort with only one DN sample.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE83144,GSE83144,ArrayExpress E-GEOD record not retrieved by direct GEO query,Alteration in microRNA-25 Balance Causes Heart and Kidney Impairment,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"miRNA-25 animal/cell experiment, not an eligible human bulk kidney-tissue contrast.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE96804,GSE96804,GEO direct search,Exon Level Expression Profiling of Diabetic Nephropathy,full accession/sample-metadata review,INCLUDED,Eligible human bulk kidney-tissue DKD-versus-non-DKD contrast.,primary glomerular source study,2026-08-21,all full records,criterion and recorded reason internally consistent,INCLUDED,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE99325,GSE99325,GEO direct search,Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts [Tub-FE],full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Participant/source overlap with GSE104954; excluded to prevent duplicate tubulointerstitial representation.,,2026-08-21,all full records; all source-overlap decisions,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE99339,GSE99339,GEO direct search,Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts [glomeruli],full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Participant/source overlap with GSE104948; excluded to prevent duplicate glomerular representation.,,2026-08-21,all full records; all source-overlap decisions,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE99340,GSE99340,GEO direct search,Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Mixed SuperSeries containing duplicated renal-biopsy subseries and in-vitro podocyte experiments.,,2026-08-21,all full records; all source-overlap decisions,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE15072,GSE15072,GEO direct search,Mitochondrial dysregulation and oxidative stress in patients with chronic kidney disease,title/summary screening,EXCLUDED_TITLE_SUMMARY,Wrong biospecimen or organ; no eligible kidney-tissue bulk contrast.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE50892,GSE50892,GEO direct search,Expression data from kidney biopsies of liver disease patients,title/summary screening,EXCLUDED_TITLE_SUMMARY,Wrong biospecimen or organ; no eligible kidney-tissue bulk contrast.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE251645,GSE251645,GEO direct search,Methylglyoxal-derived nucleoside adducts drive vascular dysfunction in a RAGE-dependent manner,title/summary screening,EXCLUDED_TITLE_SUMMARY,No eligible independent human bulk kidney-tissue DKD-versus-non-DKD contrast after title/summary screening.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE48318,GSE48318,GEO direct search,Differential miRNA expression profiling of urinary exosomes from normo- and microalbuminuric type 1 diabetic patients,title/summary screening,EXCLUDED_TITLE_SUMMARY,Wrong biospecimen or organ; no eligible kidney-tissue bulk contrast.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE262819,GSE262819,GEO direct search,Molecular mechanisms of Target organ damage in youth with primary hypertension [smallRNA-Seq 2],title/summary screening,EXCLUDED_TITLE_SUMMARY,Wrong biospecimen or organ; no eligible kidney-tissue bulk contrast.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE242141,GSE242141,GEO direct search,Chromatin conformation maps in human kidney cortex and medulla from a diabetic donor,title/summary screening,EXCLUDED_TITLE_SUMMARY,No eligible independent human bulk kidney-tissue DKD-versus-non-DKD contrast after title/summary screening.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE19769,GSE19769,GEO direct search,"miRNA expression signatures for human stomach biopsy samples, H. pylori positive versus negative",title/summary screening,EXCLUDED_TITLE_SUMMARY,No eligible independent human bulk kidney-tissue DKD-versus-non-DKD contrast after title/summary screening.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE245369,GSE245369,GEO direct search,Genomic and Biological Analysis of the Mechanism Underlying Dibifree Dietary Supplement,title/summary screening,EXCLUDED_TITLE_SUMMARY,No eligible independent human bulk kidney-tissue DKD-versus-non-DKD contrast after title/summary screening.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE342773,GSE342773,GEO direct search,Single-nucleus and bulk transcriptomic atlas of human visceral adipose tissue across metabolic disease states identifies THBS1 as a fibro-inflammatory driver,title/summary screening,EXCLUDED_TITLE_SUMMARY,Non-bulk or non-expression assay outside the prespecified bulk-transcriptome estimand.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE278614,GSE278614,GEO direct search,Single-Cell Spatial Mapping of Human Kidney Development Reveals Cellular Niches and Lineage Dynamics [CosMx],title/summary screening,EXCLUDED_TITLE_SUMMARY,Non-bulk or non-expression assay outside the prespecified bulk-transcriptome estimand.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE195443,GSE195443,GEO direct search,Multimodal single cell sequencing of human diabetic kidney disease implicates chromatin accessibility and genetic background in disease progression [cut-and-run and bulk ATAC-seq to support single cell data],title/summary screening,EXCLUDED_TITLE_SUMMARY,Non-bulk or non-expression assay outside the prespecified bulk-transcriptome estimand.,,2026-08-21,10% stratified early-exclusion sample,criterion and recorded reason internally consistent,EXCLUDED_TITLE_SUMMARY,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
