cohort,reactome_id,reactome_name,estimand,genes_in_reference_set,genes_used,observed_mean_hedges_g,bootstrap_95_ci_low,bootstrap_95_ci_high,permutation_null_mean,permutation_null_sd,observed_studentized_statistic,two_sided_studentized_permutation_p,studentized_maxT_fwer_p,raw_mean_maxT_fwer_p_sensitivity,permutation_method,permutation_allocations,design_restriction,exchangeability_scope,maxT_alpha_two_sided
GSE96804,R-HSA-380108,Chemokine receptors bind chemokines,cohort_specific_mapped_set_sensitivity,57,49,0.08312769172168294,,,-0.0004098296725440555,0.11395216023983902,0.7330929156446241,0.4663553364466355,0.9484205157948421,0.8547914520854791,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-1474244,Extracellular matrix organization,cohort_specific_mapped_set_sensitivity,321,293,0.36271336957245537,,,-0.0003753247584508353,0.08039694195802961,4.516200311704055,1.999980000199998e-05,2.999970000299997e-05,0.0057199428005719945,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-1234174,Cellular response to hypoxia,cohort_specific_mapped_set_sensitivity,62,55,-0.4265895195762522,,,0.00016792135121906373,0.11439413827995647,-3.730588361818583,0.00014999850001499985,0.0009299907000929991,0.000989990100098999,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-170834,Signaling by TGF-beta Receptor Complex,cohort_specific_mapped_set_sensitivity,94,90,-0.0869665511241174,,,0.0004004952864889324,0.06608074173983228,-1.3221256921506839,0.18801811981880182,0.6151938480615193,0.8324416755832442,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE30528,R-HSA-166658,Complement cascade,common_three_cohort_intersection,137,51,0.4817725207092066,0.2484641836201972,0.8406442914863276,0.0005644945781310027,0.13816527664144007,3.4828434309141487,5.8300832294640346e-05,0.0006232157934944313,0.016091029713320736,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-9769740,Coagulation pathway,common_three_cohort_intersection,58,52,0.07982846655718959,-0.09995028562123369,0.29329900453292934,0.0007479945988490797,0.07883127000373003,1.0031612068992253,0.3341200595070564,0.8287965904064976,0.9498572634795545,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-202733,Cell surface interactions at the vascular wall,common_three_cohort_intersection,216,125,0.32615453922890697,0.2031489165273805,0.5394557319077923,0.0006653977953189994,0.09982369489118867,3.260640089393431,5.8300832294640346e-05,0.0016846930159623659,0.1486811949660247,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-380108,Chemokine receptors bind chemokines,common_three_cohort_intersection,57,46,0.6460261616537941,0.3357857827381997,1.1148120303458553,0.0012647935496679962,0.21574417940468577,2.98854583184237,0.0002472759438703711,0.006165815608540067,0.0002512966909251739,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-1474244,Extracellular matrix organization,common_three_cohort_intersection,321,255,0.33535643140175453,0.1475929055497964,0.5948489874678612,0.0007562328374705863,0.11504976421601543,2.9083084250050657,0.000673475131679466,0.0086707410236822,0.13429898275099514,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-1234174,Cellular response to hypoxia,common_three_cohort_intersection,62,47,-0.1267867665320135,-0.49156943215552473,0.2148857917780345,-8.163746542231e-05,0.14303074165663912,-0.8858594145499201,0.3730067146475815,0.8882252422500101,0.7641831852358169,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-170834,Signaling by TGF-beta Receptor Complex,common_three_cohort_intersection,94,85,-0.10739573674167474,-0.29059790005301417,0.027693737424852212,0.0004113827699369868,0.06768861088212527,-1.592692154657301,0.11274174741667002,0.4267158538056371,0.8530416951469583,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-166658,Complement cascade,cohort_specific_mapped_set_sensitivity,137,59,0.5514767994688449,,,0.0005915620696331045,0.1455116180674537,3.7858505369917763,9.2477182260464e-05,0.0003075871496924128,0.0026697760443890476,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-9769740,Coagulation pathway,cohort_specific_mapped_set_sensitivity,58,54,0.08696330367246338,,,0.0007595186349727993,0.08474492699316767,1.0172146946853884,0.32828796590406495,0.8180511439025371,0.9235253910176511,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-202733,Cell surface interactions at the vascular wall,cohort_specific_mapped_set_sensitivity,216,137,0.35700758245665826,,,0.0006643258799750363,0.10448743518676497,3.4103933735165497,5.025933818503478e-05,0.0011981826223312292,0.09185999758755177,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-380108,Chemokine receptors bind chemokines,cohort_specific_mapped_set_sensitivity,57,53,0.6187305243958318,,,0.0011429273621587196,0.20918079218079275,2.9524106424642405,0.000359856861404849,0.008210365485907282,0.00037392947609665874,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-1474244,Extracellular matrix organization,cohort_specific_mapped_set_sensitivity,321,282,0.29857281430323107,,,0.0007245911973209995,0.1107881861708724,2.688447508712965,0.002647661935587632,0.023177596397410637,0.18159905110369506,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-1234174,Cellular response to hypoxia,cohort_specific_mapped_set_sensitivity,62,56,-0.1342799429514801,,,-0.00012732582865474806,0.1262331344305173,-1.0627369567272147,0.28432511760685136,0.791365445699811,0.7179325318644204,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE30528,R-HSA-170834,Signaling by TGF-beta Receptor Complex,cohort_specific_mapped_set_sensitivity,94,92,-0.0793803371393695,,,0.00038434502246958893,0.06409117971889627,-1.2445500693182237,0.2210988701700776,0.6735917333440553,0.9462064251537936,exact enumeration,497420,unrestricted within cohort; no person-level design factor available,Conditional on cohort-wide label exchangeability; clinical covariates and control-selection confounding were unavailable.,0.05
GSE104948_H7,R-HSA-166658,Complement cascade,common_three_cohort_intersection,137,51,0.4825407464110259,0.19187112455192842,0.9933985830779809,0.0013208447327866736,0.12630515003689632,3.809978465150986,0.0002288329519450801,0.000907010609527772,0.09229249011857707,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-9769740,Coagulation pathway,common_three_cohort_intersection,58,52,0.20066939184917776,0.005054895750592711,0.425405660759744,0.0006201516032872845,0.09115527383241057,2.194598642901145,0.02651549823174537,0.1122321614312461,0.6371936758893281,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-202733,Cell surface interactions at the vascular wall,common_three_cohort_intersection,216,125,0.6427979327848767,0.4849504779836176,0.9962206097308801,0.0009439791010941777,0.11360875262640512,5.649687535910872,2.080299563137092e-06,2.080299563137092e-06,0.025123777824006658,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-380108,Chemokine receptors bind chemokines,common_three_cohort_intersection,57,46,0.6240193243812183,0.307232475357466,1.1720099214345265,0.0016391230492167578,0.15632867426310296,3.9812286790363776,0.00012689827335136259,0.0005283960890368213,0.02976284584980237,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-1474244,Extracellular matrix organization,common_three_cohort_intersection,321,255,0.732128240431998,0.5545407125170143,1.1183481875838428,0.0011000623399864792,0.1380412560947765,5.295722443948941,2.080299563137092e-06,4.160599126274184e-06,0.011314749323902642,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-1234174,Cellular response to hypoxia,common_three_cohort_intersection,62,47,0.3178583514635346,-0.3089422624848398,1.1332108044248261,0.000283675525844866,0.28434683478825723,1.1168567294732719,0.2602808404410235,0.6921884751404203,0.3006615352610776,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-170834,Signaling by TGF-beta Receptor Complex,common_three_cohort_intersection,94,85,0.3070111929862042,-0.024485845305178614,0.7405536044877944,0.0003956096850591879,0.18936060152010636,1.6192153005417471,0.10599750364052424,0.353413771583108,0.3245475348450177,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-166658,Complement cascade,cohort_specific_mapped_set_sensitivity,137,65,0.4737453859143669,,,0.0020898565055342835,0.14111074869257864,3.3424493440706837,0.0007884335344289577,0.004193883919284377,0.10200332847930102,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-9769740,Coagulation pathway,cohort_specific_mapped_set_sensitivity,58,53,0.19018205216756856,,,0.0005817374485889532,0.09298554146202376,2.039030065727093,0.039983357603494904,0.15877678385687538,0.6831786977324735,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-202733,Cell surface interactions at the vascular wall,cohort_specific_mapped_set_sensitivity,216,142,0.6369907000162411,,,0.0013408703627831146,0.11781328967561326,5.3954000554916535,2.080299563137092e-06,2.080299563137092e-06,0.028394008737258166,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-380108,Chemokine receptors bind chemokines,cohort_specific_mapped_set_sensitivity,57,51,0.6266617161669067,,,0.001601314645225384,0.1483829260285761,4.2124819765402455,4.9927189515290205e-05,0.00022467235281880592,0.0309590180986062,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-1474244,Extracellular matrix organization,cohort_specific_mapped_set_sensitivity,321,280,0.718625886413459,,,0.0010732917303755156,0.13997958708060934,5.126123098719173,2.080299563137092e-06,6.240898689411276e-06,0.013779904306220095,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-1234174,Cellular response to hypoxia,cohort_specific_mapped_set_sensitivity,62,51,0.32128965306726776,,,0.00030576203071799684,0.28795664113421116,1.1146952186004464,0.26110879966715206,0.7006594549615145,0.2977615976700645,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
GSE104948_H7,R-HSA-170834,Signaling by TGF-beta Receptor Complex,cohort_specific_mapped_set_sensitivity,94,89,0.30572958410784695,,,0.00040401206039942465,0.1916846450219253,1.5928535747478558,0.11171832743915124,0.3719346785937175,0.3316600790513834,exact enumeration,480700,H7 batch fixed before analysis; unrestricted within H7,Conditional on within-H7 label exchangeability; individual demographics and clinical covariates were unavailable.,0.05
