gene_symbol,n_paired_donors,paired_donor_ids,pearson_r,p_value,interpretation_limit
C7,9,62;67;76;77;81;82;164;168;178,0.6920735583461995,0.03885112474160062,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C1QB,9,62;67;76;77;81;82;164;168;178,0.7233254256595094,0.02763444619779672,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
FGF2,9,62;67;76;77;81;82;164;168;178,-0.19872710008025612,0.6082443683135483,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
EMCN,9,62;67;76;77;81;82;164;168;178,0.40466752980931814,0.2799901718658652,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
F13A1,9,62;67;76;77;81;82;164;168;178,-0.38827908122142896,0.30176115545791965,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C3,9,62;67;76;77;81;82;164;168;178,0.9658790138233809,2.336774706770804e-05,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CX3CR1,9,62;67;76;77;81;82;164;168;178,0.6143827096004164,0.0783435407436675,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C5,9,62;67;76;77;81;82;164;168;178,0.3255972978504753,0.3925378875278873,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CR1,9,62;67;76;77;81;82;164;168;178,-0.6032807915212901,0.08544957462001537,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
BNIP3,9,62;67;76;77;81;82;164;168;178,0.09881981347798885,0.8003169912021381,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ADAMTS5,9,62;67;76;77;81;82;164;168;178,-0.26165127400854105,0.49644929660882864,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SPARC,9,62;67;76;77;81;82;164;168;178,0.17254715957326053,0.6570945066329812,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CSF1,9,62;67;76;77;81;82;164;168;178,-0.2669055168538762,0.487517707670612,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SERPINC1,9,62;67;76;77;81;82;164;168;178,0.11583561521104363,0.7666443257407574,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
TGFB1,9,62;67;76;77;81;82;164;168;178,0.668485572804205,0.04901944531840065,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
LOXL2,9,62;67;76;77;81;82;164;168;178,-0.004747227199319998,0.9903292097835212,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
VCAM1,9,62;67;76;77;81;82;164;168;178,0.5254015952742606,0.14632892659459465,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
EDN1,9,62;67;76;77;81;82;164;168;178,0.204106586532717,0.5983633161429095,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PDK1,9,62;67;76;77;81;82;164;168;178,0.20943966430986558,0.588623218405512,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
F5,9,62;67;76;77;81;82;164;168;178,-0.7016345747941353,0.0351545097190572,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
LDHA,9,62;67;76;77;81;82;164;168;178,0.18387393721855988,0.6358089829310423,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
F8,9,62;67;76;77;81;82;164;168;178,0.7109488628786138,0.03178059141290791,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PLAT,9,62;67;76;77;81;82;164;168;178,-0.12575545130502067,0.7471653257627534,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CXCL1,9,62;67;76;77;81;82;164;168;178,0.952559492376281,7.308979195241202e-05,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CTGF,9,62;67;76;77;81;82;164;168;178,0.42240407060690244,0.25738245351774935,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C6,9,62;67;76;77;81;82;164;168;178,-0.0765744167812566,0.8447641236083863,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ACTA2,9,62;67;76;77;81;82;164;168;178,0.4401006008621405,0.23582999287237205,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
COL3A1,9,62;67;76;77;81;82;164;168;178,0.613073844109672,0.07916150369988613,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C1R,9,62;67;76;77;81;82;164;168;178,-0.2238666700437637,0.562562182595128,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ACKR1,9,62;67;76;77;81;82;164;168;178,0.19952860503975858,0.6067686347185266,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
DCN,9,62;67;76;77;81;82;164;168;178,-0.36176832099077555,0.3387311128492744,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SELL,9,62;67;76;77;81;82;164;168;178,0.8649146595908697,0.0026073907817484813,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CFP,9,62;67;76;77;81;82;164;168;178,0.40665647139953154,0.2774053062943618,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
F7,9,62;67;76;77;81;82;164;168;178,-0.32843889467633675,0.3881748131636626,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CCL5,9,62;67;76;77;81;82;164;168;178,0.7266842817543451,0.026573935936678023,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
TIMP2,9,62;67;76;77;81;82;164;168;178,-0.10731519924541905,0.7834665436042791,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SERPING1,9,62;67;76;77;81;82;164;168;178,-0.04889425984483522,0.900591655274815,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
JAM3,9,62;67;76;77;81;82;164;168;178,0.3421598540511174,0.36742976182723547,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
MMP9,9,62;67;76;77;81;82;164;168;178,0.182121690322007,0.639087240291434,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ENO1,9,62;67;76;77;81;82;164;168;178,0.4238547937797493,0.2555776849246462,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SMAD2,9,62;67;76;77;81;82;164;168;178,0.13817893495574218,0.7229447207764761,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ARNT,9,62;67;76;77;81;82;164;168;178,-0.010803959370133454,0.9779924954983301,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PDGFRB,9,62;67;76;77;81;82;164;168;178,-0.4877114647071371,0.18291543696487378,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CFI,9,62;67;76;77;81;82;164;168;178,-0.025039713687890805,0.9490161590680612,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PROS1,9,62;67;76;77;81;82;164;168;178,-0.29371445200942603,0.443012721214246,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CCL18,9,62;67;76;77;81;82;164;168;178,0.8068290682727461,0.008586657767099187,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
F10,9,62;67;76;77;81;82;164;168;178,-0.5760881803517456,0.1044872826711298,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SELP,9,62;67;76;77;81;82;164;168;178,-0.33849853765810967,0.37291270041594526,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
MMP3,9,62;67;76;77;81;82;164;168;178,0.21933214621682812,0.5707071633779908,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PGK1,9,62;67;76;77;81;82;164;168;178,0.6266647738769329,0.07092324896924176,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
TGFBR2,9,62;67;76;77;81;82;164;168;178,0.14371774908883017,0.7122132959398674,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
TEK,9,62;67;76;77;81;82;164;168;178,0.779325432058801,0.013293083236477467,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ANGPTL4,9,62;67;76;77;81;82;164;168;178,-0.18189059914206096,0.6395199911176818,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
LAMB1,9,62;67;76;77;81;82;164;168;178,0.5573723543394435,0.11896300171641107,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
RAMP2,9,62;67;76;77;81;82;164;168;178,0.49912823064725115,0.17133705472775554,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ADAMTS4,0,,,,
CXCL3,9,62;67;76;77;81;82;164;168;178,0.2694147377388513,0.4832759688111193,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CFB,9,62;67;76;77;81;82;164;168;178,-0.25615069402539176,0.5058704875899059,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SPP1,9,62;67;76;77;81;82;164;168;178,0.3658975923354602,0.33283272361370775,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CXCL10,9,62;67;76;77;81;82;164;168;178,-0.08253139631903293,0.8328198444669078,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CCL2,9,62;67;76;77;81;82;164;168;178,0.5765984453442341,0.10410841453706982,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CXCL2,9,62;67;76;77;81;82;164;168;178,0.5524693411019977,0.12294277256092002,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
FGG,9,62;67;76;77;81;82;164;168;178,0.2520909866685016,0.5128696038920836,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
TGFB2,9,62;67;76;77;81;82;164;168;178,0.31464599720842223,0.40956342258926964,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SMAD4,9,62;67;76;77;81;82;164;168;178,-0.254498238607171,0.5087147347973799,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
TFPI,9,62;67;76;77;81;82;164;168;178,0.054805912822773584,0.8886294009704849,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PROC,9,62;67;76;77;81;82;164;168;178,0.619583918102487,0.07514504496212476,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SMAD7,9,62;67;76;77;81;82;164;168;178,0.6327806685064785,0.06739874906524247,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
TGFB3,9,62;67;76;77;81;82;164;168;178,0.4150581316207961,0.2666245013826541,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
THBD,9,62;67;76;77;81;82;164;168;178,0.4891755809216354,0.18140650205073636,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ROBO4,9,62;67;76;77;81;82;164;168;178,0.30530443377908933,0.4243464418149595,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CCL8,9,62;67;76;77;81;82;164;168;178,0.2119284642271331,0.5840971217648107,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PLAU,9,62;67;76;77;81;82;164;168;178,-0.2677222369346174,0.4861353874008048,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PLVAP,9,62;67;76;77;81;82;164;168;178,-0.1020721537163495,0.7938572506121185,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ICAM1,9,62;67;76;77;81;82;164;168;178,0.3135347561278533,0.4113095206641738,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SKI,9,62;67;76;77;81;82;164;168;178,0.48147892559260713,0.1894180219035683,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ID1,9,62;67;76;77;81;82;164;168;178,-0.35533533475697404,0.3480215208245567,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SERPINE1,9,62;67;76;77;81;82;164;168;178,0.6045067459638186,0.08464609886933593,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
THBS1,9,62;67;76;77;81;82;164;168;178,0.6378266320567354,0.06457515183924963,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
HIF1A,9,62;67;76;77;81;82;164;168;178,0.14338784580108394,0.7128512784529404,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SLC2A1,9,62;67;76;77;81;82;164;168;178,-0.17888074107756366,0.6451649272697003,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ENG,9,62;67;76;77;81;82;164;168;178,-0.5171114684590755,0.15397354105022398,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C8G,9,62;67;76;77;81;82;164;168;178,0.04623655921876063,0.9059752988196653,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CD34,9,62;67;76;77;81;82;164;168;178,0.1670621834913336,0.66748022108371,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
FGA,9,62;67;76;77;81;82;164;168;178,0.6273585580309174,0.0705177690660678,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
FGB,9,62;67;76;77;81;82;164;168;178,0.3172125239101354,0.4055435772740994,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CXCL8,9,62;67;76;77;81;82;164;168;178,0.06860256313810598,0.8607909585444944,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ESAM,0,,,,
C5AR1,9,62;67;76;77;81;82;164;168;178,-0.0052568127235357726,0.9892911556679662,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CXCL9,9,62;67;76;77;81;82;164;168;178,0.13067077647644415,0.7375584111159396,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
TGFBR1,9,62;67;76;77;81;82;164;168;178,0.3938202108090184,0.29430631766723175,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CCL20,9,62;67;76;77;81;82;164;168;178,0.0159807742296324,0.9674511618254968,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SELE,9,62;67;76;77;81;82;164;168;178,0.6107900643783345,0.08060136741167397,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PDGFB,9,62;67;76;77;81;82;164;168;178,0.30565271165502106,0.42379105639717657,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
LGALS3,9,62;67;76;77;81;82;164;168;178,0.0013525225530143792,0.9972446678808866,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ANGPT2,9,62;67;76;77;81;82;164;168;178,-0.3278089334268394,0.38914011550988764,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SKIL,9,62;67;76;77;81;82;164;168;178,0.4086248885547694,0.27485941614102066,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
EPAS1,9,62;67;76;77;81;82;164;168;178,0.6532102607005416,0.05643051290523701,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
F12,9,62;67;76;77;81;82;164;168;178,0.406817400697664,0.27719670561428317,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
SMAD3,9,62;67;76;77;81;82;164;168;178,-0.670174769408331,0.04824041742929237,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PDGFA,9,62;67;76;77;81;82;164;168;178,0.10515621771042602,0.7877417324008391,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C2,9,62;67;76;77;81;82;164;168;178,0.7578238740989293,0.01799122328133636,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C4A,9,62;67;76;77;81;82;164;168;178,-0.08967706750017232,0.8185312664897505,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C4B,0,,,,
C8A,9,62;67;76;77;81;82;164;168;178,-0.2633159825676115,0.4936122814576387,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C8B,9,62;67;76;77;81;82;164;168;178,0.42348654510650846,0.25603516473986887,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C9,9,62;67;76;77;81;82;164;168;178,-0.060750481652911414,0.8766201288117557,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CA9,9,62;67;76;77;81;82;164;168;178,0.5134597996101748,0.15741286132809154,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CCL7,9,62;67;76;77;81;82;164;168;178,0.6749584517013947,0.046077380255832655,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CXCL11,9,62;67;76;77;81;82;164;168;178,-0.06780474466984843,0.8623974254577772,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
F2,9,62;67;76;77;81;82;164;168;178,0.08918238921156427,0.8195189883206718,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
