gene_symbol,theme,module,gene_module_membership,gene_significance_for_DKD,is_module_hub_candidate,module_trait_correlation_with_DKD,module_trait_pvalue,direction_concordant,external_fdr_lt_0_05,gse30528_hedges_g,mapped_to_wgcna_top_5000,in_black_module,descriptive_class,interpretation_limit
PLG,COAGULATION_CASCADE,blue,0.934267270368831,-0.464226490840823,True,-0.61222178676675,1.58062353464139e-07,True,False,-0.181900302792023,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
COL4A2,ECM_REMODELING,black,0.827352705755635,0.454629283019046,True,0.51054417915688,2.62610862139044e-05,False,False,-0.3692051848510574,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C7,COMPLEMENT_ACTIVATION,black,0.822182572315435,0.450916599206166,True,0.51054417915688,2.62610862139044e-05,True,True,2.0544041252880985,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C1QB,COMPLEMENT_ACTIVATION,black,0.795953021218936,0.299155019614048,False,0.51054417915688,2.62610862139044e-05,True,True,2.753213858861744,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
FGF2,FIBROSIS,,,,,,,True,False,0.6340254039484303,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
EMCN,ENDOTHELIAL_ACTIVATION,turquoise,0.796306984859438,-0.414240998739789,False,-0.550093800089026,4.38296934122209e-06,True,True,-2.054648572358295,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
F13A1,COAGULATION_CASCADE,black,0.629434252675195,0.0593238503006203,False,0.51054417915688,2.62610862139044e-05,True,False,0.6404840374309367,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C3,COMPLEMENT_ACTIVATION,black,0.907025850873132,0.434434718598164,True,0.51054417915688,2.62610862139044e-05,True,True,1.7690556878083523,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CX3CR1,MACROPHAGE_RECRUITMENT,black,0.602084874227293,0.267273555187775,False,0.51054417915688,2.62610862139044e-05,True,False,0.6760629177023297,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C5,COMPLEMENT_ACTIVATION,,,,,,,True,False,-0.2056099863645863,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CR1,COMPLEMENT_ACTIVATION,turquoise,0.930037901796674,-0.50415264491589,True,-0.550093800089026,4.38296934122209e-06,True,False,-0.2399238467210867,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
BNIP3,HYPOXIA,blue,0.87094875105049,-0.643190379195096,True,-0.61222178676675,1.58062353464139e-07,False,False,0.3980920657407891,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ADAMTS5,ECM_REMODELING,black,0.59787070067334,0.544219967353354,False,0.51054417915688,2.62610862139044e-05,False,False,-0.0737407754884242,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SPARC,FIBROSIS,,,,,,,False,False,-0.7569626005304091,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CSF1,MACROPHAGE_RECRUITMENT,,,,,,,True,True,1.4890106620504968,False,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SERPINC1,COAGULATION_CASCADE,,,,,,,False,False,0.0486221440480773,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
TGFB1,TGF_BETA_SIGNALING,black,0.548621138808037,0.228469442907005,False,0.51054417915688,2.62610862139044e-05,True,False,0.4888015507309987,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
LOXL2,FIBROSIS,,,,,,,True,False,0.1994477671889017,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
VCAM1,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,black,0.836348927037292,0.30549587081977,True,0.51054417915688,2.62610862139044e-05,True,False,1.1080840486910402,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
EDN1,ENDOTHELIAL_ACTIVATION,black,0.819045896731124,0.479781318918141,True,0.51054417915688,2.62610862139044e-05,True,True,2.717744578515514,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
PDK1,HYPOXIA,,,,,,,True,False,0.7337205038697449,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
F5,COAGULATION_CASCADE,turquoise,0.631889679152991,-0.220585401335863,False,-0.550093800089026,4.38296934122209e-06,True,True,-2.641753245885944,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
LDHA,HYPOXIA,,,,,,,True,False,0.5423773812549707,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
F8,COAGULATION_CASCADE,turquoise,0.49573637012848,-0.0544789860645342,False,-0.550093800089026,4.38296934122209e-06,True,False,-0.6935694011253806,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
PLAT,COAGULATION_CASCADE,turquoise,0.707155642642705,-0.348919912954249,False,-0.550093800089026,4.38296934122209e-06,True,True,-1.562204723516003,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CXCL1,MACROPHAGE_RECRUITMENT,black,0.746247095153263,0.027057449928203,False,0.51054417915688,2.62610862139044e-05,True,False,0.6487773748910931,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CTGF,FIBROSIS;TGF_BETA_SIGNALING,turquoise,0.587375670988733,-0.314226357070046,False,-0.550093800089026,4.38296934122209e-06,True,True,-2.090827824605708,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C6,COMPLEMENT_ACTIVATION,,,,,,,True,False,0.487970247624606,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ACTA2,FIBROSIS,black,0.871356312142724,0.419000592583158,True,0.51054417915688,2.62610862139044e-05,False,False,-0.0362421873422643,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
COL3A1,FIBROSIS,,,,,,,False,False,0.736469170354028,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C1R,COMPLEMENT_ACTIVATION,black,0.568654648646432,-0.0878135442458212,False,0.51054417915688,2.62610862139044e-05,False,False,-0.5232417110511719,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ACKR1,ENDOTHELIAL_ACTIVATION,,,,,,,False,True,1.7166758923587284,False,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
DCN,FIBROSIS,turquoise,0.64330785330574,-0.506484190290744,False,-0.550093800089026,4.38296934122209e-06,True,True,-2.177091637474276,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SELL,LEUKOCYTE_ADHESION,pink,0.793596248656226,-0.571011581308208,False,-0.823716246433432,3.60649763482444e-16,False,False,0.9325438815595124,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CFP,COMPLEMENT_ACTIVATION,,,,,,,True,False,0.1912021249018359,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
F7,COAGULATION_CASCADE,,,,,,,False,False,0.7711035958481034,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CCL5,MACROPHAGE_RECRUITMENT,salmon,0.759554592262562,-0.172396332193346,False,-0.283277808565408,0.0269508180989578,True,True,1.5572549366501356,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
TIMP2,ECM_REMODELING,,,,,,,False,True,-1.8390423456372744,False,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SERPING1,COMPLEMENT_ACTIVATION,black,0.335755594553709,-0.358457789746445,False,0.51054417915688,2.62610862139044e-05,True,False,-0.3984881222266051,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
JAM3,LEUKOCYTE_ADHESION,,,,,,,False,True,-2.436263861382979,False,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
MMP9,ECM_REMODELING,,,,,,,True,False,0.5731452787442459,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ENO1,HYPOXIA,black,0.539838133031343,-0.0337399425441432,False,0.51054417915688,2.62610862139044e-05,True,False,1.1477720448728232,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SMAD2,TGF_BETA_SIGNALING,,,,,,,False,False,-1.0488118033153109,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ARNT,HYPOXIA,,,,,,,False,False,0.6695691498975902,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
PDGFRB,FIBROSIS,,,,,,,False,True,-1.8082460262778173,False,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CFI,COMPLEMENT_ACTIVATION,black,0.518016700164133,0.0438785528867546,False,0.51054417915688,2.62610862139044e-05,False,False,0.8139902726539727,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
PROS1,COAGULATION_CASCADE,black,0.792258815336746,0.460973925828108,False,0.51054417915688,2.62610862139044e-05,True,False,0.2030205321349653,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CCL18,MACROPHAGE_RECRUITMENT,,,,,,,False,False,1.0086408382333,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
F10,COAGULATION_CASCADE,,,,,,,True,False,0.4278535883652593,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SELP,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,turquoise,0.245522796655426,-0.205169790654145,False,-0.550093800089026,4.38296934122209e-06,True,False,-0.0578917557299841,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
MMP3,ECM_REMODELING,yellow,0.548029137026371,0.34113802574633,False,0.801674028780617,8.35501823801662e-15,True,False,1.1763322257757476,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
PGK1,HYPOXIA,,,,,,,False,False,0.2604429795729779,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
TGFBR2,TGF_BETA_SIGNALING,turquoise,0.842946993928854,-0.540652889385674,True,-0.550093800089026,4.38296934122209e-06,True,True,-1.346349333047674,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
TEK,ENDOTHELIAL_ACTIVATION,turquoise,0.418701102256118,0.235803163119924,False,-0.550093800089026,4.38296934122209e-06,False,True,-1.0489733742484966,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ANGPTL4,HYPOXIA,turquoise,0.448664897756503,-0.518873414487725,False,-0.550093800089026,4.38296934122209e-06,True,False,-0.133728880865567,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
LAMB1,ECM_REMODELING,black,0.813280700714473,0.305787890056874,True,0.51054417915688,2.62610862139044e-05,True,False,0.7395386909896146,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
RAMP2,ENDOTHELIAL_ACTIVATION,turquoise,0.622175636141746,-0.468905626347168,False,-0.550093800089026,4.38296934122209e-06,True,False,-0.8644080515003119,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ADAMTS4,ECM_REMODELING,,,,,,,False,False,,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CXCL3,MACROPHAGE_RECRUITMENT,,,,,,,False,False,1.0043277383862397,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CFB,COMPLEMENT_ACTIVATION,black,0.866162810801566,0.319345496756873,True,0.51054417915688,2.62610862139044e-05,True,True,1.9254051262022795,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SPP1,ECM_REMODELING;MACROPHAGE_RECRUITMENT,black,0.462470062421261,0.0729320299055462,False,0.51054417915688,2.62610862139044e-05,True,True,1.681211148764283,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CXCL10,MACROPHAGE_RECRUITMENT,greenyellow,0.355995888198179,0.183579894205692,False,0.1521304490985,0.241830622292041,False,False,-0.033996222392319,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CCL2,MACROPHAGE_RECRUITMENT,black,0.859776157170467,0.452300100783402,True,0.51054417915688,2.62610862139044e-05,True,False,0.8337421372468541,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CXCL2,MACROPHAGE_RECRUITMENT,pink,0.535935193455702,-0.307641121998419,False,-0.823716246433432,3.60649763482444e-16,True,False,-0.3506608285386605,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
FGG,COAGULATION_CASCADE,,,,,,,True,False,0.9776702335105776,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
TGFB2,TGF_BETA_SIGNALING,black,0.831361551844252,0.524922240941003,True,0.51054417915688,2.62610862139044e-05,True,False,0.447592762731469,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SMAD4,TGF_BETA_SIGNALING,,,,,,,False,False,-0.2708792796619606,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
TFPI,COAGULATION_CASCADE,,,,,,,True,False,-0.6848585784909564,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
PROC,COAGULATION_CASCADE,blue,0.796967491619831,-0.452408404469073,False,-0.61222178676675,1.58062353464139e-07,True,False,-0.2824291306077404,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SMAD7,TGF_BETA_SIGNALING,,,,,,,True,False,-0.6065339777325836,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
TGFB3,TGF_BETA_SIGNALING,black,0.886542435612826,0.552225633180244,True,0.51054417915688,2.62610862139044e-05,True,False,0.2379759938729498,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
THBD,COAGULATION_CASCADE,black,0.775659216664022,0.542853670749513,False,0.51054417915688,2.62610862139044e-05,False,False,-0.4286149957691795,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ROBO4,ENDOTHELIAL_ACTIVATION,turquoise,0.673527204717456,-0.337894400265132,False,-0.550093800089026,4.38296934122209e-06,True,False,-0.0839244988880157,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CCL8,MACROPHAGE_RECRUITMENT,black,0.638674044370478,0.456896194354527,False,0.51054417915688,2.62610862139044e-05,True,False,0.9757004209236652,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
PLAU,COAGULATION_CASCADE,black,0.840930749897938,0.403295051409755,True,0.51054417915688,2.62610862139044e-05,True,False,0.5712797603007926,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
PLVAP,ENDOTHELIAL_ACTIVATION,black,0.738035057375491,0.417830829251182,False,0.51054417915688,2.62610862139044e-05,True,False,0.8778327681900774,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ICAM1,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,,,,,,,True,False,0.1008861368764367,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
SKI,TGF_BETA_SIGNALING,,,,,,,False,False,-0.8293525991649994,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
