series_accession,gsm_accession,title,source_name,organism,characteristics,molecule,library_strategy,sample_type,raw_annotation_json
GSE30529,GSM757024,"Control Human Kidney 17, Tubuli",Tubuli of control kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: control,total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: control""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK17T"", ""KS1-HG_U133A_2-2898""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757024""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""relation"": [""Reanalyzed by: GSM758498""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of control kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757024/suppl/GSM757024_KS1-HG_U133A_2-2898.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Control Human Kidney 17, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757025,"Control Human Kidney 37, Tubuli",Tubuli of control kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: control,total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: control""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK37T"", ""KS1-HG_U133A_2-2868""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757025""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""relation"": [""Reanalyzed by: GSM758499""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of control kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757025/suppl/GSM757025_KS1-HG_U133A_2-2868.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Control Human Kidney 37, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757026,"Control Human Kidney 53, Tubuli",Tubuli of control kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: control,total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: control""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK53T"", ""KS1-HG_U133A_2-2741""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757026""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""relation"": [""Reanalyzed by: GSM758500""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of control kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757026/suppl/GSM757026_KS1-HG_U133A_2-2741.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Control Human Kidney 53, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757027,"Control Human Kidney 64, Tubuli",Tubuli of control kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: control,total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: control""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK64T"", ""KS1-HG_U133A_2-2903""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757027""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""relation"": [""Reanalyzed by: GSM758501""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of control kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757027/suppl/GSM757027_KS1-HG_U133A_2-2903.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Control Human Kidney 64, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757028,"Control Human Kidney 70, Tubuli",Tubuli of control kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: control,total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: control""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK70T"", ""KS1-HG_U133A_2-2906""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757028""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""relation"": [""Reanalyzed by: GSM758502""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of control kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757028/suppl/GSM757028_KS1-HG_U133A_2-2906.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Control Human Kidney 70, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757029,"Control Human Kidney 76, Tubuli",Tubuli of control kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: control,total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: control""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK76T"", ""KS1-HG_U133A_2-2912""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757029""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""relation"": [""Reanalyzed by: GSM758503""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of control kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757029/suppl/GSM757029_KS1-HG_U133A_2-2912.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Control Human Kidney 76, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757030,"Control Human Kidney 77, Tubuli",Tubuli of control kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: control,total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: control""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK77T"", ""KS1-HG_U133A_2-2914""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757030""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""relation"": [""Reanalyzed by: GSM758504""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of control kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757030/suppl/GSM757030_KS1-HG_U133A_2-2914.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Control Human Kidney 77, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757031,"Control Human Kidney 81, Tubuli",Tubuli of control kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: control,total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: control""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK81T"", ""KS1-HG_U133A_2-2920""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757031""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""relation"": [""Reanalyzed by: GSM758505""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of control kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757031/suppl/GSM757031_KS1-HG_U133A_2-2920.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Control Human Kidney 81, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757032,"Control Human Kidney 82, Tubuli",Tubuli of control kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: control,total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: control""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK82T"", ""KS1-HG_U133A_2-2922""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757032""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""relation"": [""Reanalyzed by: GSM758506""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of control kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757032/suppl/GSM757032_KS1-HG_U133A_2-2922.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Control Human Kidney 82, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757033,"Control Human Kidney 160, Tubuli",Tubuli of control kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: control,total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: control""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK160T"", ""KS1-HG_U133A_2-6375""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757033""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""relation"": [""Reanalyzed by: GSM758507""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of control kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757033/suppl/GSM757033_KS1-HG_U133A_2-6375.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Control Human Kidney 160, Tubuli""], ""type"": [""RNA""]}"
