uid,accession,title,summary,organism,entry_type,gds_type,platform_ids,publication_date,n_samples,pubmed_ids,bioproject,ftp_link,matched_queries,priority_screen,priority_reason,final_decision,final_exclusion_reason
200120466,GSE120466,Gene expression perturbation upon over-expression of a new PPARG isoform,"PPARγ regulates glucose and lipid homeostasis, insulin signaling and adipocyte differentiation. Here we report the skipping of exon 5 as legitimate splicing event generating PPARγΔ5, a new truncated isoform lacking the ligand binding domain. PPARγΔ5 is endogenously expressed in human adipose tissue and during adipocyte differentiation, lacks the ligand-dependent transactivation ability and acts as dominant negative reducing PPARγ activity. Ligand-mediated PPARγ activation induces exon 5 skipping in a negative feedback loop, suggesting alternative splicing as a new mechanism regulating PPARγ activity. PPARγΔ5 over-expression modifies PPARγ-induced transcriptional network, significantly impairing the differentiation ability of adipocyte precursor cells. Additionally, PPARγΔ5 expression in subcutaneous adipose tissue positively correlates with BMI in two independent cohorts of obese and diabetic patients. From a functional perspective, PPARγΔ5 mimics PPARG dominant negative mutated receptors, possibly contributing to adipose tissue dysfunctions. These findings open unexplored scenario in PPARG regulation and PPARγ-related diseases.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,11154,2018/10/14,3,,PRJNA493099,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120466/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
200121221,GSE121221,MicroRNA arrays for early diagnosis of diabetic kidney disease,"We collected the mid-morning urine samples, and centrifuged at 2000g for ten minutes in order to remove cells and debris, and then stored in -80 degree refrigerator. we selected 2 samples per group for the microRNA arrays in the following four groups: normal control, IGT with renal impairment, diabetes, diabetic kidney disease. In IGT renal impairment group, we have found that the expression of two microRNAs were changed. Expression of mir-7977 and mir-5100 were quantified in an extended populations by real-time PCR and the result was consistent with the microRNA arrays. Therefore, mir-7977 and mir-5100 may be sensitive biomarkers for renal impairment in IGT patients.",Homo sapiens,GSE,Non-coding RNA profiling by array,20712,2020/06/05,8,32523663,PRJNA496398,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121221/,Q1_disease_phrases;Q2_broad_diabetes_kidney,False,renal tissue wording not explicit; not a bulk-expression GEO type,PENDING_HUMAN_REVIEW,
200121346,GSE121346,A MAFG-lncRNA axis links systemic nutrient abundance to hepatic glucose metabolism.,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens; Mus musculus,GSE,Expression profiling by high throughput sequencing,17021;21103;20301,2019/12/18,73,32005828,PRJNA497091,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121346/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
200121862,GSE121862,A single-nucleus RNA-sequencing pipeline to decipher the molecular anatomy and pathophysiology of human kidneys,"Defining cellular and molecular identities within the kidney is necessary to understand its organization and function in health and disease. Here we demonstrate a reproducible method with minimal artifacts for single-nucleus Droplet-based RNA sequencing (snDrop-Seq) that we use to resolve thirty distinct cell populations in human adult kidney. We define molecular transition states along more than ten nephron segments spanning two major kidney regions. We further delineate cell type-specific expression of genes associated with chronic kidney disease, diabetes and hypertension, providing insight into possible targeted therapies. This includes expression of a hypertension-associated mechano-sensory ion channel in mesangial cells, and identification of proximal tubule cell populations defined by pathogenic expression signatures. Our fully optimized, quality-controlled transcriptomic profiling pipeline constitutes a tool for the generation of healthy and diseased molecular atlases applicable to clinical samples.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,16791,2019/05/24,47,31249312,PRJNA498680,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121862/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
200129666,GSE129666,RNA sequence data in whole cell extracts of differentiated human podocytes,"Sphingomyelin phosphodiesterase acid-like 3b (SMPDL3b) is a lipid raft enzyme that regulates plasma membrane (PM) fluidity. Here we report that SMPDL3b excess, as observed in podocytes in diabetic kidney disease (DKD), impairs insulin receptor isoform B-dependent pro-survival insulin signaling by interfering with insulin receptor isoforms binding to caveolin-1 in PM. SMPDL3b excess affects the production of active sphingolipids resulting in decreased ceramide-1-phosphate (C1P) content as observed in human podocytes in vitro and in kidney cortexes of diabetic db/db mice in vivo.  Podocyte-specific Smpdl3b deficiency in db/db mice is sufficient to restore kidney cortex C1P content and to protect from DKD. Exogenous administration of C1P restores IR signaling in vitro and prevents established DKD progression in vivo. Taken together, we identified SMPDL3b as a modulator of insulin signaling and demonstrated that supplementation with exogenous C1P may represent a lipid therapeutic strategy to treat diabetic complications such as DKD.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,21290,2019/04/12,6,31217420,PRJNA532413,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129666/,Q1_disease_phrases;Q2_broad_diabetes_kidney,False,renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
200131882,GSE131882,The Single Cell Transcriptomic Landscape of Early Human Diabetic Nephropathy,We report the early transcriptional changes in human diabetic nephropathy by single nucleus RNA sequencing,Homo sapiens,GSE,Expression profiling by high throughput sequencing,24676,2019/09/10,6,31506348;33850129,PRJNA545232,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131882/,Q1_disease_phrases;Q2_broad_diabetes_kidney,False,renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
200135944,GSE135944,SC-beta Cell in vivo Maturation,"Stem cell-derived β (SC-β) cells are an emerging regenerative therapy to compensate for loss of functional β cell mass in diabetes. Glucose-stimulated insulin secretion in SC-β cells is variable in vitro but stabilizes after transplantation and maturation under the kidney capsule of mice. We identified mechanisms correlated with functional maturation using RNA-sequencing and co-expression network analysis. In vivo maturation enhanced glucose-stimulated but not basal insulin secretion, up-regulated β cell hormones IAPP and ADCYAP1, increased expression of maturation markers MAFA, UCN3, and SIX2, and resolved endocrine identity of incompletely specified polyhormonal cells produced during differentiation. Transplantation promoted calcium signalling, induced exocytotic machinery supporting hormone secretion and improved stimulus-secretion coupling that fine-tunes insulin secretion. Growth hormone signalling emerged as candidate driver of in vivo maturation and was confirmed in vitro. Also, a large co-expression module correlated with HbA1c and was enriched in genes up-regulated during in vivo maturation but down-regulated in hyperglycaemic and palmitate stress conditions, suggesting that transcriptional maturation of SC-β cells in vivo mirrors processes lost in diabetic β cells.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,18573,2019/08/19,16,,PRJNA560712,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135944/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
200136395,GSE136395,"The effects of a novel oral nutritional supplement as compared to standard care on body composition, physical function and skeletal muscle mRNA expression in Dutch older adults with (or at risk of) undernutrition","In a randomized controlled trial, 82 older adults (>65y) with (or at risk of) undernutrition (n=82) were randomly allocated to 12 weeks of supplementation with a novel supplement (586 kcal, 22 g protein of which 50% whey and 50% casein, 206 mg ursolic acid, 7 g free BCAAs, 11 µg vitamin D) or standard care (600 kcal, 24g protein of which 100% casein, 4 µg vitamin D). Body weight increased significantly in the 12 weeks, both in the intervention group (+1.6 ± 0.2 kg, p<.0001) and in the standard care group (+1.8 ± 0.2 kg, p<.0001). Gait speed during 4m and 400m tests improved over time in the intervention group, whereas the standard care showed no improvements (time*treatment effects 400m: p=0.038 and 4m: p=0.048). Gene sets related to mitochondrial functioning were strongly upregulated in the participants receiving the intervention product. We showed that a novel oral nutritional supplement improves gait speed in older adults via improvements in mitochondrial functioning.",Homo sapiens,GSE,Expression profiling by array,17692,2021/04/06,42,33799307,PRJNA562474,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136395/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
200137684,GSE137684,Differential messenger RNA expression in Granulosa Cells from polycystic ovary syndrome with Normoandrogen and Hyperandrogen: Identification of gene sets through bioinformatic Filtering analysis,"PCOS is a widespread disease that primarily caused in-pregnancy in pregnant-age women. Normoandrogen (NA) and Hyperandrogen (HA) PCOS are distinguished under distinct level of testosterone, while markers and expression patterns for both subtypes were not adequately studied. Text-mining analysis stated the correlation for PCOS with granusola cells and thus we performed microarray analysis on granusola cells from HA PCOS, NA PCOS and normal tissue from individuals, and afterwards downloaded RNA-seq and microarray data from NCBI GEO database on granusola cells from PCOS and normal ovary. Applying our newly developed method using Monte Carlo algorithm and text mining method on combined data, we identified several potential markers for HA and NA PCOS. RT-PCR and Western blotting results validated the expression pattern of these markers for HA and NA PCOS as bioinformatical prediction. Further gene ontology (GO) and text-mining analysis discovered that (1) NA PCOS was highly correlated with estrogen-driven tumors including ovarian, breast and endometrial cancer as compared with normal granusola cells. NA PCOS specific genes IL6R and CD274 were bioinformatically predicted and experimentally validated and thus might be the key factor behind the mechanism responsible for the tumor-like pattern for NA PCOS; (2) HA PCOS showed high correlation with keratinization, epidermis development, GTPase activity, glomerular basement membrane development and apoptosis corresponding to the fact HA PCOS patients express characteristic of hirsutism, diabetes and obesity. Meanwhile HA PCOS was sustantially lowerly related with estrogen-driven tumors as compared with normal granusola cells.",Homo sapiens,GSE,Expression profiling by array,17077,2019/09/19,12,,PRJNA566203,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137684/,Q2_broad_diabetes_kidney,False,disease wording not explicit,PENDING_HUMAN_REVIEW,
200140308,GSE140308,Genomewide transcriptional analysis of growth hormone-treated human podocytes,"The growth hormone plays a significant role in normal renal function and overactive growth hormone signaling has been implicated in proteinuria in diabetes. Earlier studies from our group have shown that the glomerular podocytes, which play an essential role in renal filtration, express the growth hormone receptor, suggesting the direct action of growth hormone on these cells. Nevertheless, the precise mechanism and the downstream pathways that are induced by the excess growth hormone in these podocytes leading to diabetic nephropathy are not clearly established. To compressively understand the growth hormone’s effect on podocytes at transcript level we performed RNA-Sequencing. Conditionally immortalized human podocytes were employed in this study.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,16791,2020/08/28,4,,PRJNA589266,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140308/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200140627,GSE140627,Urinary sediment transcriptomic and longitudinal data to investigate renal function decline in type 1 diabetes,Using a discovery/validation approach we investigated associations between a panel of genes selected from a transcriptomic study and the renal function decline across time in a cohort of type 1 diabetes patients.,Homo sapiens,GSE,Expression profiling by high throughput sequencing,16791,2019/11/19,10,32425885,PRJNA590268,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140627/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
200142025,GSE142025,Comparison of Kidney Transcriptomic Profiles of Early and Advanced Diabetic Nephropathy Reveals Potential New Mechanisms for Disease Progression,"To identify the factors mediating the progression of di- abetic nephropathy (DN), we performed RNA sequencing of kidney biopsy samples from patients with early DN, advanced DN, and normal kidney tissue from nephrectomy samples. A set of genes that were upregulated at early but downregulated in late DN were shown to be largely renoprotective, which included genes in the retinoic acid pathway and glucagon-like peptide 1 receptor. Another group of genes that were downregulated at early but highly upregulated in advanced DN consisted mostly of genes associated with kidney disease pathogenesis, such as those related to immune response and fibrosis. Correlation with estimated glomerular filtration rate (eGFR) identified genes in the pathways of iron transport and cell differentiation to be positively associated with eGFR, while those in the immune response and fibrosis pathways were negatively associated. Correlation with various histopathological features also identified the association with the distinct gene ontological pathways. Deconvolution analysis of the RNA sequencing data set indicated a significant increase in monocytes, fibroblasts, and myofibroblasts in advanced DN kidneys. Our study thus provides potential molecular mechanisms for DN progression and association of differential gene expression with the functional and structural changes observed in patients with early and advanced DN.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,20301,2019/12/14,36,31578193;32086290,PRJNA595590,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142025/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200142153,GSE142153,Human PBMCs: Healthy vs Diabetic nephropathy vs ESRD,"Transcriptional profiling of human PBMCs comparing healthy controls, patients with diabetic nephropathy and patients with ESRD. PBMCs were analyzed as they mediate inflammatory injury. Goal was to determine effects of increasing severity of diabetic nephropathy on global PBMC gene expression. Microarray analysis of PBMCs taken from patients with varying degrees of diabetic nephropathy.",Homo sapiens,GSE,Expression profiling by array,6480,2020/12/01,40,34925339,PRJNA595989,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142153/,Q1_disease_phrases,False,renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
200145745,GSE145745,Integrative omics analyses reveal epigenetic memory in diabetic cells regulating genes associated with kidney dysfunction. [microarray],"We report novel epigenetic mechanisms of epigenetic memory and its role in regulation of transporter genes in diabetic renal proximal tubules. We have generated RNA-seq, ATAC-seq and Infinium EPIC methylation array datasets from human primary proximal tubule epithelial cells from non-diabetic healthy controls and from patients with history of Type II Diabetes. Analyses of RNA-seq, ATAC-seq and Methylaiton EPIC array data.",Homo sapiens,GSE,Methylation profiling by array,23976,2020/10/28,24,32747424,PRJNA608118,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145745/,Q2_broad_diabetes_kidney,False,renal tissue wording not explicit; not a bulk-expression GEO type,PENDING_HUMAN_REVIEW,
200145746,GSE145746,Integrative omics analyses reveal epigenetic memory in diabetic cells regulating genes associated with kidney dysfunction. [sequencing],"We report novel epigenetic mechanisms of epigenetic memory and its role in regulation of transporter genes in diabetic renal proximal tubules. We have generated RNA-seq, ATAC-seq and Infinium EPIC methylation array datasets from human primary proximal tubule epithelial cells from non-diabetic healthy controls and from patients with history of Type II Diabetes.",Homo sapiens,GSE,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,11154,2020/10/28,24,32747424,PRJNA608119,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145746/,Q2_broad_diabetes_kidney,False,renal tissue wording not explicit; not a bulk-expression GEO type,PENDING_HUMAN_REVIEW,
200145747,GSE145747,Integrative omics analyses reveal epigenetic memory in diabetic cells regulating genes associated with kidney dysfunction.,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,GSE,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Methylation profiling by array,11154;23976,2020/10/28,48,32747424,PRJNA608120,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145747/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit; not a bulk-expression GEO type,PENDING_HUMAN_REVIEW,
200148639,GSE148639,Identification of human glucocorticoid response markers using integrated multi-omic analysis [Peripheral blood mononuclear cells],"A multi-omic approach in a clinical experimental study identified circulating biomarkers reflecting glucocorticoid exposure. Background: Endogenous glucocorticoids (GC) are mechanistically linked to common diseases and are important as drugs in the treatment of many disorders. There is no marker that can measure and quantify GC action. Our aim was to identify circulating biomarkers of GC action using a clinical experimental study.  Methods: In a randomized, crossover, single-blind trial, subjects with primary adrenal insufficiency received intravenous hydrocortisone infusion in a circadian pattern (physiological GC exposure) or isotonic saline (GC withdrawal) over 22 hours. Samples were collected at 7 AM (end of infusion). Integrated multi-omic analysis was used because of the complexity in GC action and the low number of subjects. The transcriptome in peripheral blood mononuclear cells (PBMCs) and adipose tissue, plasma miRNAomic, and serum metabolomics were compared between the interventions. Replication of the plasma miRNA findings was performed in three independent studies.  Results: During GC withdrawal, overnight urinary cortisol and cortisone excretion were undetectable. Correlation and hypernetwork analyses identified a transcriptomic profile derived from PBMCs and adipose tissue predictive of GC exposure, and a multi-omic cluster predictive of GC exposure. From the circulating ‘omic data, decreased expression of plasma miR-122-5p was associated with increased GC exposure. This finding was reproduced in three independent studies.  Conclusion: We developed a human experimental model for physiological GC exposure and withdrawal. The integrated multi-omic data identified circulating miRNAs and metabolites associated with GC-responsive genes. In independent studies, miR-122-5p was shown to be associated with GC exposure.  Background: Endogenous glucocorticoids (GC) are mechanistically linked to common diseases and are important as drugs in the treatment of many disorders. There is no marker that can measure and quantify GC action. Our aim was to identify circulating biomarkers of GC action using a clinical experimental study.",Homo sapiens,GSE,Expression profiling by array,16686,2021/04/02,18,,PRJNA625267,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148639/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
200148640,GSE148640,Identification of human glucocorticoid response markers using integrated multi-omic analysis [Adipose Tissue],"A multi-omic approach in a clinical experimental study identified circulating biomarkers reflecting glucocorticoid exposure. Background: Endogenous glucocorticoids (GC) are mechanistically linked to common diseases and are important as drugs in the treatment of many disorders. There is no marker that can measure and quantify GC action. Our aim was to identify circulating biomarkers of GC action using a clinical experimental study.  Methods: In a randomized, crossover, single-blind trial, subjects with primary adrenal insufficiency received intravenous hydrocortisone infusion in a circadian pattern (physiological GC exposure) or isotonic saline (GC withdrawal) over 22 hours. Samples were collected at 7 AM (end of infusion). Integrated multi-omic analysis was used because of the complexity in GC action and the low number of subjects. The transcriptome in peripheral blood mononuclear cells (PBMCs) and adipose tissue, plasma miRNAomic, and serum metabolomics were compared between the interventions. Replication of the plasma miRNA findings was performed in three independent studies.  Results: During GC withdrawal, overnight urinary cortisol and cortisone excretion were undetectable. Correlation and hypernetwork analyses identified a transcriptomic profile derived from PBMCs and adipose tissue predictive of GC exposure, and a multi-omic cluster predictive of GC exposure. From the circulating ‘omic data, decreased expression of plasma miR-122-5p was associated with increased GC exposure. This finding was reproduced in three independent studies.  Conclusion: We developed a human experimental model for physiological GC exposure and withdrawal. The integrated multi-omic data identified circulating miRNAs and metabolites associated with GC-responsive genes. In independent studies, miR-122-5p was shown to be associated with GC exposure.  Background: Endogenous glucocorticoids (GC) are mechanistically linked to common diseases and are important as drugs in the treatment of many disorders. There is no marker that can measure and quantify GC action. Our aim was to identify circulating biomarkers of GC action using a clinical experimental study.",Homo sapiens,GSE,Expression profiling by array,16686,2021/04/02,20,,PRJNA625266,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148640/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
