pmid,year,journal,title,doi,query_ids,repository_accessions_in_title_or_abstract,abstract
21388644,2011,Metabolism: clinical and experimental,Glucagon-like peptide-1 suppresses advanced glycation end product-induced monocyte chemoattractant protein-1 expression in mesangial cells by reducing advanced glycation end product receptor level.,10.1016/j.metabol.2011.01.010,PM_Q1,,"Advanced glycation end products (AGE) and receptor for AGE (RAGE) interaction elicits reactive oxygen species (ROS) generation and inflammatory reactions, thereby being involved in the development and progression of diabetic nephropathy. Recently, we, along with others, found that glucagon-like peptide-1 (GLP-1), one of the incretins and a gut hormone secreted from L cells in the intestine in response to food intake, could have anti-inflammatory and antithrombogenic properties in cultured endothelial cells. However, the effects of GLP-1 on renal mesangial cells are largely unknown. Therefore, to elucidate the role of GLP-1 in diabetic nephropathy, this study investigated whether and how GLP-1 blocked AGE-induced monocyte chemoattractant protein-1 expression in human cultured mesangial cells. Gene and protein expression was analyzed by quantitative real-time reverse transcription polymerase chain reactions, Western blots, and enzyme-linked immunosorbent assay. The ROS generation was measured with dihydroethidium staining. Glucagon-like peptide-1 receptor (GLP-1R) was expressed in mesangial cells. Glucagon-like peptide-1 inhibited RAGE gene expression in mesangial cells, which was blocked by small interfering RNAs raised against GLP-1R. Furthermore, GLP-1 decreased ROS generation and subsequently reduced monocyte chemoattractant protein-1 gene and protein expression in AGE-exposed mesangial cells. An analogue of cyclic adenosine monophosphate mimicked the effects of GLP-1 on mesangial cells. Our present study suggests that GLP-1 may directly act on mesangial cells via GLP-1R and that it could work as an anti-inflammatory agent against AGE by reducing RAGE expression via activation of cyclic adenosine monophosphate pathway."
21514434,2011,The American journal of pathology,Long-term administration of the histone deacetylase inhibitor vorinostat attenuates renal injury in experimental diabetes through an endothelial nitric oxide synthase-dependent mechanism.,10.1016/j.ajpath.2011.01.044,PM_Q1,,"Epigenetic changes in gene expression play a role in the development of diabetic complications, including nephropathy. Histone deacetylases (HDACs) are a group of enzymes that exert epigenetic effects by altering the acetylation status of histone and nonhistone proteins. In the current study, we investigated the action of the clinically available HDAC inhibitor vorinostat in a mouse model of diabetic nephropathy, with the following aims: to define its effect on the progression of renal injury and to explore its mechanism of action by focusing on its role in regulating the expression of endothelial nitric oxide synthase (eNOS). Control and streptozotocin-diabetic wild-type and eNOS(-/-) mice were treated with vorinostat by daily oral dosing for 18 weeks. Without affecting either blood glucose concentration or blood pressure, vorinostat decreased albuminuria, mesangial collagen IV deposition, and oxidative-nitrosative stress in streptozotocin-wild-type mice. These attenuating effects were associated with a >50% reduction in eNOS expression in mouse kidneys and in cultured human umbilical vein endothelial cells. Vorinostat treatment had no effect on albuminuria, glomerular collagen IV concentration, or mesangiolysis in diabetic mice genetically deficient in eNOS. These observations illustrate the therapeutic efficacy of long-term HDAC inhibition in diabetic nephropathy and emphasize the importance of the interplay between eNOS activity and oxidative stress in mediating these effects."
21518438,2011,BMC systems biology,Systems biology approach to identify transcriptome reprogramming and candidate microRNA targets during the progression of polycystic kidney disease.,10.1101/gad.1522907,PM_Q1,,"Autosomal dominant polycystic kidney disease (ADPKD) is characterized by cyst formation throughout the kidney parenchyma. It is caused by mutations in either of two genes, PKD1 and PKD2. Mice that lack functional Pkd1 (Pkd1⁻/⁻), develop rapidly progressive cystic disease during embryogenesis, and serve as a model to study human ADPKD. Genome wide transcriptome reprogramming and the possible roles of micro-RNAs (miRNAs) that affect the initiation and progression of cyst formation in the Pkd1⁻/⁻ have yet to be studied. miRNAs are small, regulatory non-coding RNAs, implicated in a wide spectrum of biological processes. Their expression levels are altered in several diseases including kidney cancer, diabetic nephropathy and PKD. We examined the molecular pathways that modulate renal cyst formation and growth in the Pkd1⁻/⁻ model by performing global gene-expression profiling in embryonic kidneys at days 14.5 and 17.5. Gene Ontology and gene set enrichment analysis were used to identify overrepresented signaling pathways in Pkd1⁻/⁻ kidneys. We found dysregulation of developmental, metabolic, and signaling pathways (e.g. Wnt, calcium, TGF-β and MAPK) in Pkd1⁻/⁻ kidneys. Using a comparative transcriptomics approach, we determined similarities and differences with human ADPKD: ~50% overlap at the pathway level among the mis-regulated pathways was observed. By using computational approaches (TargetScan, miRanda, microT and miRDB), we then predicted miRNAs that were suggested to target the differentially expressed mRNAs. Differential expressions of 9 candidate miRNAs, miRs-10a, -30a-5p, -96, -126-5p, -182, -200a, -204, -429 and -488, and 16 genes were confirmed by qPCR. In addition, 14 candidate miRNA:mRNA reciprocal interactions were predicted. Several of the highly regulated genes and pathways were predicted as targets of miRNAs. We have described global transcriptional reprogramming during the progression of PKD in the Pkd1⁻/⁻ model. We propose a model for the cascade of signaling events involved in cyst formation and growth. Our results suggest that several miRNAs may be involved in regulating signaling pathways in ADPKD. We further describe novel putative miRNA:mRNA signatures in ADPKD, which will provide additional insights into the pathogenesis of this common genetic disease in humans."
21606656,2011,Nephron. Experimental nephrology,Inflammatory gene expression in OVE26 diabetic kidney during the development of nephropathy.,10.1159/000324407,PM_Q1,,"To define renal gene expression during the development of severe albuminuria in OVE26 diabetic mice. Kidney microarray analysis was performed at 2, 4 and 8 months. Data were validated by RT-PCR, in situ hybridization and immunohistochemistry. Gene expression differences between control and diabetic mice increased 10-fold from 2 to 8 months. This change was most obvious for inflammatory genes. Three inflammatory genes, complement C3, VCAM1 and CD44 were upregulated more than 4-fold. Inflammatory gene expression correlated with albuminuria and C3 and CD44 increased in tubules that accumulated albumin. VCAM1 was induced in different tubules that were neither dilated nor accumulated albumin. Six of 8 genes previously reported to be markers of human advanced diabetic nephropathy and the NF-κB_IFN_x promoter module were elevated in the oldest diabetic mice. Vitamin D inhibits diabetic renal inflammation. Vitamin D and mRNA for vitamin D synthetic enzyme CYP2B1 were elevated in kidneys of young OVE26 mice. OVE26 mice induce inflammatory genes consistent with advanced renal disease, associated with severe albuminuria and to a greater extent than reported in other diabetic models. They provide an excellent model of diabetic nephropathy to assess the effect of induction of inflammatory proteins."
21752957,2011,Diabetes,Transcriptome analysis of human diabetic kidney disease.,10.2337/db10-1181,PM_Q2,,"Diabetic kidney disease (DKD) is the single leading cause of kidney failure in the U.S., for which a cure has not yet been found. The aim of our study was to provide an unbiased catalog of gene-expression changes in human diabetic kidney biopsy samples. Affymetrix expression arrays were used to identify differentially regulated transcripts in 44 microdissected human kidney samples. DKD samples were significant for their racial diversity and decreased glomerular filtration rate (~25-35 mL/min). Stringent statistical analysis, using the Benjamini-Hochberg corrected two-tailed t test, was used to identify differentially expressed transcripts in control and diseased glomeruli and tubuli. Two different web-based algorithms were used to define differentially regulated pathways. We identified 1,700 differentially expressed probesets in DKD glomeruli and 1,831 in diabetic tubuli, and 330 probesets were commonly differentially expressed in both compartments. Pathway analysis highlighted the regulation of Ras homolog gene family member A, Cdc42, integrin, integrin-linked kinase, and vascular endothelial growth factor signaling in DKD glomeruli. The tubulointerstitial compartment showed strong enrichment for inflammation-related pathways. The canonical complement signaling pathway was determined to be statistically differentially regulated in both DKD glomeruli and tubuli and was associated with increased glomerulosclerosis even in a different set of DKD samples. Our studies have cataloged gene-expression regulation and identified multiple novel genes and pathways that may play a role in the pathogenesis of DKD or could serve as biomarkers."
21784897,2011,Journal of the American Society of Nephrology : JASN,IHG-1 promotes mitochondrial biogenesis by stabilizing PGC-1α.,10.1681/ASN.2010111154,PM_Q1,,"Increased expression of Induced-by-High-Glucose 1 (IHG-1) associates with tubulointerstitial fibrosis in diabetic nephropathy. IHG-1 amplifies TGF-β1 signaling, but the functions of this highly-conserved protein are not well understood. IHG-1 contains a putative mitochondrial-localization domain, and here we report that IHG-1 is specifically localized to mitochondria. IHG-1 overexpression increased mitochondrial mass and stabilized peroxisome proliferator-activated receptor γ coactivator-1α (PGC-1α). Conversely, inhibition of IHG-1 expression decreased mitochondrial mass, downregulated mitochondrial proteins, and PGC-1α-regulated transcription factors, including nuclear respiratory factor 1 and mitochondrial transcription factor A (TFAM), and reduced activity of the TFAM promoter. In the unilateral ureteral obstruction model, we observed higher PGC-1α protein expression and IHG-1 levels with fibrosis. In a gene-expression database, we noted that renal biopsies of human diabetic nephropathy demonstrated higher expression of genes encoding key mitochondrial proteins, including cytochrome c and manganese superoxide dismutase, compared with control biopsies. In summary, these data suggest that IHG-1 increases mitochondrial biogenesis by promoting PGC-1α-dependent processes, potentially contributing to the pathogenesis of renal fibrosis."
21808238,2011,Laboratory investigation; a journal of technical methods and pathology,Inhibition of inflammation by pentosan polysulfate impedes the development and progression of severe diabetic nephropathy in aging C57B6 mice.,10.1038/labinvest.2011.93,PM_Q1,,"Inflammation has a key role in diabetic nephropathy (DN) progression. Pentosan polysulfate (PPS) has been shown to decreases interstitial inflammation and glomerulosclerosis in 5/6 nephrectomized rats. Since PPS has an excellent long-term safety profile in interstitial cystitis treatment, and we recently found that old diabetic C57B6 mice develop DN characterized by extensive tubulointerstitial inflammatory lesions that mimics human DN, we examined the effect of PPS on old diabetic mice. We also examined the anti-inflammatory properties of PPS in renal cells in vitro. Diabetes was induced with streptozotocin in 18 months female (early aging) C57B6 mice. Mice were then randomized to receive oral PPS (25 mg/kg/day) or water for 4 months. The effect of PPS on NF-κB activation and on TNFα, high glucose or advanced glycation end products (AGEs) stimulated proinflammatory gene expression in renal cells was examined. We found that PPS treatment preserved renal function, significantly reduced albuminuria, and markedly decreased the severity of renal lesions, including tubulointerstitial inflammation. PPS also reduced upregulation of TNFα and proinflammatory genes in aging diabetic kidneys. Furthermore, PPS suppressed NF-κB, decreased the proinflammatory actions of TNFα, and decreased high glucose and AGEs stimulated MCP-1 production in vitro. Finally, PPS decreased TNFα-induced increase in albumin permeability in podocyte monolayers. In conclusion, PPS treatment largely prevents the development/progression of nephropathy in aging diabetic mice. As this may be mediated by suppression of TNFα, high glucose, and AGE-stimulated NF-κB activation and inflammation in vitro, the in vivo blockade of DN may be due to the anti-inflammatory properties of PPS."
21871016,2012,The Biochemical journal,Connective tissue growth factor antagonizes transforming growth factor-β1/Smad signalling in renal mesangial cells.,10.1042/BJ20110910,PM_Q1,,"The critical involvement of TGF-β1 (transforming growth factor-β1) in DN (diabetic nephropathy) is well established. However, the role of CTGF (connective tissue growth factor) in regulating the complex interplay of TGF-β1 signalling networks is poorly understood. The purpose of the present study was to investigate co-operative signalling between CTGF and TGF-β1 and its physiological significance. CTGF was determined to bind directly to the TβRIII (TGF-β type III receptor) and antagonize TGF-β1-induced Smad phosphorylation and transcriptional responses via its N-terminal half. Furthermore, TGF-β1 binding to its receptor was inhibited by CTGF. A consequent shift towards non-canonical TGF-β1 signalling and expression of a unique profile of differentially regulated genes was observed in CTGF/TGF-β1-treated mesangial cells. Decreased levels of Smad2/3 phosphorylation were evident in STZ (streptozotocin)-induced diabetic mice, concomitant with increased levels of CTGF. Knockdown of TβRIII restored TGF-β1-mediated Smad signalling and cell contractility, suggesting that TβRIII is key for CTGF-mediated regulation of TGF-β1. Comparison of gene expression profiles from CTGF/TGF-β1-treated mesangial cells and human renal biopsy material with histological diagnosis of DN revealed significant correlation among gene clusters. In summary, mesangial cell responses to TGF-β1 are regulated by cross-talk with CTGF, emphasizing the potential utility of targeting CTGF in DN."
22193383,2012,Journal of the American Society of Nephrology : JASN,Hyperglycemia and renin-dependent hypertension synergize to model diabetic nephropathy.,10.1681/ASN.2011060577,PM_Q1,,"Rodent models exhibit only the earliest features of human diabetic nephropathy, which limits our ability to investigate new therapies. Hypertension is a prerequisite for advanced diabetic nephropathy in humans, so its rarity in typical rodent models may partly explain their resistance to nephropathy. Here, we used the Cyp1a1mRen2 rat, in which the murine renin-2 gene is incorporated under the Cytochrome P4501a1 promoter. In this transgenic strain, administration of low-dose dietary indole-3-carbinol induces moderate hypertension. In the absence of hypertension, streptozotocin-induced diabetes resulted in a 14-fold increase in albuminuria but only mild changes in histology and gene expression despite 28 weeks of marked hyperglycemia. In the presence of induced hypertension, hyperglycemia resulted in a 500-fold increase in albuminuria, marked glomerulosclerosis and tubulointerstitial fibrosis, and induction of many of the same pathways that are upregulated in the tubulointerstitium in human diabetic nephropathy. In conclusion, although induction of diabetes alone in rodents has limited utility to model human diabetic nephropathy, renin-dependent hypertension and hyperglycemia synergize to recapitulate many of the clinical, histological, and gene expression changes observed in humans."
22200442,2012,Journal of renal nutrition : the official journal of the Council on Renal Nutrition of the National Kidney Foundation,Dietary and synthetic activators of the antistress gene response in treatment of renal disease.,10.1053/j.jrn.2011.10.012,PM_Q1,,"Renal failure is associated with increased vascular inflammation, oxidative stress and dicarbonyl stress linked to development of cardiovascular disease, and other complications. The endogenous defense to inflammatory, oxidative, and dicarbonyl challenge to vascular function is coordinated by nuclear factor E2-related factor 2 (nrf2), kelch-related erythroid cell-derived protein with CNC homology (ECH) protein 1 (keap1), and antioxidant response element-linked gene expression in the antistress gene response. Intervention trials of the synthetic nrf2 activator, bardoloxone methyl, in patients with advanced diabetic nephropathy, showing improvement of renal function and decreased inflammation, suggest that nrf2 activators may have therapeutic benefit in chronic renal failure. Activators of nrf2 are of both synthetic and dietary origin. The aim of this review is to describe the ""nrf2/keap1/antioxidant response element"" transcriptional system and studies of this system in renal failure, and to assess the current status and future prospects that dietary nrf2 activators may be of benefit to patients with chronic renal failure."
22266139,2012,Biochimica et biophysica acta,Next-generation sequencing identifies TGF-β1-associated gene expression profiles in renal epithelial cells reiterated in human diabetic nephropathy.,10.1016/j.bbadis.2012.01.008,PM_Q1,,"Transforming growth factor-beta (TGF-β1) is implicated in the onset and progression of renal fibrosis and diabetic nephropathy (DN), leading to a loss of epithelial characteristics of tubular cells. The transcriptional profile of renal tubular epithelial cells stimulated with TGF-β1 was assessed using RNA-Seq, with 2027 differentially expressed genes identified. Promoter analysis of transcription factor binding sites in the TGF-β1 responsive gene set predicted activation of multiple transcriptional networks, including NFκB. Comparison of RNA-Seq with microarray data from identical experimental conditions identified low abundance transcripts exclusive to RNA-Seq data. We compared these findings to human disease by analyzing transcriptomic data from renal biopsies of patients with DN versus control groups, identifying a shared subset of 179 regulated genes. ARK5, encoding an AMP-related kinase, and TGFBI - encoding transforming growth factor, beta-induced protein were induced by TGF-β1 and also upregulated in human DN. Suppression of ARK5 attenuated fibrotic responses of renal epithelia to TGF-β1 exposure; and silencing of TGFBI induced expression of the epithelial cell marker - E-cadherin. We identified low abundance transcripts in sequence data and validated expression levels of several transcripts (ANKRD56, ENTPD8) in tubular enriched kidney biopsies of DN patients versus living donors. In conclusion, we have defined a TGF-β1-driven pro-fibrotic signal in renal epithelial cells that is also evident in the DN renal transcriptome."
22386936,2012,Metabolism: clinical and experimental,Pravastatin inhibits advanced glycation end products (AGEs)-induced proximal tubular cell apoptosis and injury by reducing receptor for AGEs (RAGE) level.,10.1016/j.metabol.2012.01.006,PM_Q1,,"Advanced glycation end products (AGEs) and their receptor (RAGE) axis play a role in diabetic nephropathy. Statins have been shown to ameliorate renal function and reduce proteinuria in patients with chronic kidney disease. However, the effects of statin on AGEs-induced tubular cell damage remain unknown. We examined here whether and how pravastatin could block the AGEs-RAGE-elicited tubular cell injury in vitro. Gene expression level was evaluated by real-time reverse-transcription polymerase chain reactions. Reactive oxygen species (ROS) generation was measured with dihydroethidium staining. Apoptosis was analyzed in an enzyme-linked immunosorbent assay. Asymmetric dimethylarginine (ADMA) expression was evaluated by immunostaining. Pravastatin dose-dependently inhibited the AGEs-induced up-regulation of RAGE mRNA level, ROS generation and apoptosis in human renal proximal tubular cells. Further, AGEs decreased mRNA level of dimethylarginine dimethylaminohydrolase-2, an enzyme that mainly degrades asymmetric dimethylarginine (ADMA), an endogenous inhibitor of nitric oxide synthase and subsequently increased ADMA generation in tubular cells, both of which were also prevented by pravastatin. Geranylgeranyl pyrophosphate (GGPP) treatment blocked all of the effects of pravastatin on tubular cells. We found that rosuvastatin also significantly blocked the AGEs-induced increase in RAGE mRNA level and ROS generation, both of which were prevented by GGPP. Our present study suggests that pravastatin could inhibit the AGEs-induced apoptosis and ADMA generation in tubular cells by suppressing RAGE expression probably via inhibition of GGPP synthesis. Pravastatin may exert beneficial effects on tubular damage in diabetic nephropathy by blocking the AGEs-RAGE axis."
22401656,2012,Omics : a journal of integrative biology,Molecular pathways and crosstalk characterizing the cardiorenal syndrome.,10.1089/omi.2011.0121,PM_Q1,,"The risk of developing cardiovascular diseases (CVD) is dramatically increased in patients with chronic kidney diseases (CKD). Mechanisms leading to this cardiorenal syndrome (CRS) are multifactorial, and combined analyses of both failing organs may provide routes toward developing strategies for early risk assessment, prognosis, and consequently effective therapy. In order to identify molecular mechanisms involved in the crosstalk between the diseased cardiovascular system and kidney, we analyzed tissue specific transcriptomics profiles on atherosclerosis and diabetic nephropathy together with gene sets associated with cardiovascular and chronic kidney diseases that derived from a literature mining approach. We focused on enriched molecular pathways and highlight molecular interactions found within as well as between affected pathways identified for the two organs. Analysis on the level of molecular pathways pointed out the role of PPAR signaling, coagulation, inflammation, and focal adhesion pathways in formation and progression of the CRS. The proteins apolipoprotein A1 (APOA1) and albumin (ALB) turned out to be of particular importance in the context of dyslipidemia, one of the major risk factors for the development of CVD. In summary, our analyses highlight mechanisms associated with dyslipidemia, hemodynamic regulation, and inflammation on the interface between the cardiovascular and the renal system."
22421514,2012,Experimental cell research,MicroRNAs and the glomerulus.,10.1016/j.yexcr.2012.02.034,PM_Q1,,"MicroRNAs (miRNAs) are short non-coding RNAs regulating gene expression at the post-transcriptional level by blocking translation or promoting cleavage of their target mRNAs. Increasing evidence shows that miRNAs play central roles in gene transcription, signal transduction and pathogenesis of human diseases. Diabetic nephropathy (DN) is a severe microvascular complication that can lead to end-stage renal disease. Increased expansion (hypertrophy) and accumulation of extracellular matrix (ECM) proteins such as collagen (fibrosis) in the glomerular mesangium along with glomerular podocyte dysfunction are major features of DN. Profiling of miRNAs and study\ of their functions in renal glomeruli can provide critical new information to advance our knowledge of DN as well as other kidney diseases and thereby uncover much needed new therapeutic targets. In this review, we summarize the biogenesis of miRNAs and their functions in the glomerulus, with particular emphasis on glomerular mesangial cells and podocytes related to the pathogenesis of DN."
22526486,2012,Clinical and experimental nephrology,Phenotypic change of macrophages in the progression of diabetic nephropathy; sialoadhesin-positive activated macrophages are increased in diabetic kidney.,10.1007/s10157-012-0625-3,PM_Q1,,"Inflammatory process is involved in pathogenesis of diabetic nephropathy, although the activation and phenotypic change of macrophages in diabetic kidney has remained unclear. Sialoadhesin is a macrophage adhesion molecule containing 17 extracellular immunoglobulin-like domains, and is an I-type lectin which binds to sialic acid ligands expressed on hematopoietic cells. The aim of this study is to clarify the activation and phenotypic change of macrophages in the progression of diabetic nephropathy. We examined the expression of surface markers for pan-macrophages, resident macrophages, sialoadhesin, major histocompatibility complex class II and α-smooth muscle actin in the glomeruli of diabetic rats using immunohistochemistry at 0, 1, 4, 12, and 24 weeks after induction of diabetes by streptozotocin. Expression of type IV collagen and the change of mesangial matrix area were also measured. The mechanism for up-regulated expression of sialoadhesin on macrophages was evaluated in vitro. The number of macrophages was increased in diabetic glomeruli at 1 month after induction of diabetes and the increased number was maintained until 6 months. On the other hand, sialoadhesin-positive macrophages were increased during the late stage of diabetes concomitantly with the increase of α-smooth muscle actin-positive mesangial cells, mesangial matrix area and type IV collagen. Gene expression of sialoadhesin was induced by stimulation with interleukin (IL)-1β and tumor necrosis factor-α but not with IL-4, transforming growth factor-β and high glucose in cultured human macrophages. The present findings suggest that sialoadhesin-positive macrophages may contribute to the progression of diabetic nephropathy."
22610400,2012,Diabetologia,Exacerbation of diabetic nephropathy by hyperlipidaemia is mediated by Toll-like receptor 4 in mice.,10.1007/s00125-012-2578-1,PM_Q1,,"Hyperlipidaemia is an independent risk factor for the progression of diabetic nephropathy, but its molecular mechanism remains elusive. We investigated in mice how diabetes and hyperlipidaemia cause renal lesions separately and in combination, and the involvement of Toll-like receptor 4 (TLR4) in the process. Diabetes was induced in wild-type (WT) and Tlr4 knockout (KO) mice by intraperitoneal injection of streptozotocin (STZ). At 2 weeks after STZ injection, normal diet was substituted with a high-fat diet (HFD). Functional and histological analyses were carried out 6 weeks later. Compared with treatment with STZ or HFD alone, treatment of WT mice with both STZ and HFD markedly aggravated nephropathy, as indicated by an increase in albuminuria, mesangial expansion, infiltration of macrophages and upregulation of pro-inflammatory and extracellular-matrix-associated gene expression in glomeruli. In Tlr4 KO mice, the addition of an HFD to STZ had almost no effects on the variables measured. Production of protein S100 calcium binding protein A8 (calgranulin A; S100A8), a potent ligand for TLR4, was observed in abundance in macrophages infiltrating STZ-HFD WT glomeruli and in glomeruli of diabetic nephropathy patients. High-glucose and fatty acid treatment synergistically upregulated S100a8 gene expression in macrophages from WT mice, but not from KO mice. As putative downstream targets of TLR4, phosphorylation of interferon regulatory factor 3 (IRF3) was enhanced in kidneys of WT mice co-treated with STZ and HFD. Activation of S100A8/TLR4 signalling was elucidated in an animal model of diabetic glomerular injury accompanied with hyperlipidaemia, which may provide novel therapeutic targets in progressive diabetic nephropathy."
22629296,2012,PloS one,A pilot trial assessing urinary gene expression profiling with an mRNA array for diabetic nephropathy.,10.1371/journal.pone.0034824,PM_Q1,,"The initiation and progression of diabetic nephropathy (DN) is complex. Quantification of mRNA expression in urinary sediment has emerged as a novel strategy for studying renal diseases. Considering the numerous molecules involved in DN development, a high-throughput platform with parallel detection of multiple mRNAs is needed. In this study, we constructed a self-assembling mRNA array to analyze urinary mRNAs in DN patients with aims to reveal its potential in searching novel biomarkers. mRNA array containing 88 genes were fabricated and its performance was evaluated. A pilot study with 9 subjects including 6 DN patients and 3 normal controls were studied with the array. DN patients were assigned into two groups according to their estimate glomerular rate (eGFR): DNI group (eGFR>60 ml/min/1.73 m(2), n = 3) and DNII group (eGFR<60 ml/min/1.73 m(2), n = 3). Urinary cell pellet was collected from each study participant. Relative abundance of these target mRNAs from urinary pellet was quantified with the array. The array we fabricated displayed high sensitivity and specificity. Moreover, the Cts of Positive PCR Controls in our experiments were 24±0.5 which indicated high repeatability of the array. A total of 29 mRNAs were significantly increased in DN patients compared with controls (p<0.05). Among these genes, α-actinin4, CDH2, ACE, FAT1, synaptopodin, COL4α, twist, NOTCH3 mRNA expression were 15-fold higher than those in normal controls. In contrast, urinary TIMP-1 mRNA was significantly decreased in DN patients (p<0.05). It was shown that CTGF, MCP-1, PAI-1, ACE, CDH1, CDH2 mRNA varied significantly among the 3 study groups, and their mRNA levels increased with DN progression (p<0.05). Our pilot study demonstrated that mRNA array might serve as a high-throughput and sensitive tool for detecting mRNA expression in urinary sediment. Thus, this primary study indicated that mRNA array probably could be a useful tool for searching new biomarkers for DN."
22659134,2012,Experimental cell research,Spleen tyrosine kinase mediates high glucose-induced transforming growth factor-β1 up-regulation in proximal tubular epithelial cells.,10.1016/j.yexcr.2012.05.016,PM_Q2,,"The role of spleen tyrosine kinase (Syk) in high glucose-induced intracellular signal transduction has yet to be elucidated. We investigated whether Syk is implicated in high glucose-induced transforming growth factor-β1 (TGF-β1) up-regulation in cultured human proximal tubular epithelial cells (HK-2 cell). High glucose increased TGF-β1 gene expression through Syk, extracellular signal-regulated kinase (ERK), AP-1 and NF-κB. High glucose-induced AP-1 DNA binding activity was decreased by Syk inhibitors and U0126 (an ERK inhibitor). Syk inhibitors suppressed high glucose-induced ERK activation, whereas U0126 had no effect on Syk activation. High glucose-induced NF-κB DNA binding activity was also decreased by Syk inhibitors. High glucose increased nuclear translocation of p65 without serine phosphorylation of IκBα and without degradation of IκBα, but with an increase in tyrosine phosphorylation of IκBα that may account for the activation of NF-κB. Both Syk inhibitors and Syk-siRNA attenuated high glucose-induced IκBα tyrosine phosphorylation and p65 nuclear translocation. Depletion of p21-activated kinase 2 (Pak2) by transfection of Pak2-siRNA abolished high glucose-induced Syk activation. In summary, high glucose-induced TGF-β1 gene transcription occurred through Pak2, Syk and subsequent ERK/AP-1 and NF-κB pathways. This suggests that Syk might be implicated in the diabetic kidney disease."
22698077,2012,Current diabetes reviews,"Biomarkers of diabetic nephropathy, the present and the future.",10.2174/157339912802083478,PM_Q1,,"Diabetic nephropathy (DN) is a leading cause of end-stage renal disease. Searching for the perfect biomarker of DN has become the holy grail of nephrology since the burden of this disease is untenable. The only feasible way to tackle this health care crisis is by prevention and treatment in a mechanistically rational approach. Therefore, the discovery of a specific, reliable diagnostic and prognostic biomarker for DN is imperative. Part of the difficulty in finding such a marker is the complex pathogenesis of DN; it is clearly multifactorial and involves multiple genes, proteins, metabolic pathways, and environmental factors. In this review, we will discuss the latest findings in the use of genetic, protein, and metabolic markers of DN. Particular attention will be paid to the urinary biomarker as a noninvasive method to detect either morphological or biochemical changes in DN. Urinary protein and mRNA studies have focused on either the glomerular (podocyte-specific) or tubular components (matrix or injury-related) of the nephron. The virtues and pitfalls of using the podocyte as a biomarker will be discussed. The systems biology approach of biomarker discovery in the studies of genomics, transcriptomics, proteomics, and metabolomics will be explored. Despite significant numbers of new biomarkers described, most studies are limited by either their small sample size or their cross-sectional nature, so that the ability to predict future and severity of DN is lacking. In order to successfully search for the ideal, validated biomarker, we need to conduct large, prospective, multi-center trials enlisting both Type 1 and Type II diabetic patients with and without nephropathy for at least two decades."
22770937,2012,Journal of diabetes and its complications,IGF2BP2 and IGF2 genetic effects in diabetes and diabetic nephropathy.,10.1016/j.jdiacomp.2012.05.012,PM_Q1,,"The IGF2BP2 gene is located on chromosome 3q27.2 within a region linked to type 1 diabetes (T1D), type 2 diabetes (T2D) and diabetic nephropathy (DN). Its protein functionally binds to 5'-UTR of the imprinting IGF2 gene. The present study aims to evaluate the IGF2BP2-IGF2 genetic effects in diabetes and DN. Three cohorts including T1D with and without DN (n=1139) of European descents from the GoKinD study, Swedish T1D with and without DN (n=303) and Czech control subjects without diabetes, T1D, T2D with and without DN (n=1418) were enrolled in TaqMan genotyping experiments for IGF2BP2 rs4402960 and IGF2 rs10770125. Igf2bp2 gene expression in kidney tissues of db/db and control mice at the ages of 5 and 26 weeks was examined with real time RT-PCR and Western blot. An association of IGF2BP2 rs4402960 with T2D in the Czech population was replicated. This IGF2BP2 polymorphism (P=0.037, OR=0.69 95% CI 0.49-0.98) was found to be associated with DN in male not in female patients with T1D selected from the GoKinD study. In the analyses of combined the GoKinD, Czech and Swedish populations, the association between IGF2BP2 polymorphism and DN in male patients with T1D was still significant (P=0.030, OR=0.73, 95% CI 0.54-0.97). IGF2 rs10770125 was also associated with DN in male T1D patients of the GoKinD population (P=0.038, OR=0.67 95% CI 0.46-0.98). There might be a genetic interaction between IGF2BP2 and IGF2 (P=0.05). The Igf2bp2 gene expression levels were increased in the kidneys of db/db mice compared to controls at the age of 5weeks but not at 26 weeks. The present study has replicated the association of IGF2BP2 rs4402960 with T2D in the Czech population and provided data suggesting that IGF2BP2 may have genetic interaction with IGF2 with a protective effect against DN in male patients with T1D."
