accession,title,release_date,query_ids,human_signal,renal_signal,disease_signal,kidney_tissue_signal,experimental_only_signal,priority_screen,geo_equivalent,database_duplicate_of_GEO,content
E-GEOD-21448,Renal gene expression in uninephrectomized diabetic OVE26 mice,2011-04-15,AE_Q1;AE_Q2,False,True,True,False,True,False,GSE21448,True,"E-GEOD-21448 Renal gene expression in uninephrectomized diabetic OVE26 mice transcription profiling by array EFO EFO_0002768 Mus musculus OVE26 (OVE) mice provide a useful model of advanced diabetic nephropathy (DN) with respect to albuminuria and pathologies. We showed that albuminuria, reduced"
E-GEOD-21785,Systematic analysis of a human renal transcript dataset,2010-07-19,AE_Q1;AE_Q2,True,True,True,False,False,True,GSE21785,True," associated differential mRNA regulation of ROBO2 was found in diabetic nephropathy.  In summary, using a comparative strategy on microdissected nephrons novel transcripts with predominant expression in the human glomerulus could be identified.  A systematic analysis of this glomerulus-specifc gene"
E-GEOD-23338,TGFß1-driven epithelial to mesenchymal transition in human kidney cell line,2011-05-30,AE_Q1;AE_Q2,True,True,True,False,True,False,GSE23338,True, to renal fibrosis in diseases such as diabetic nephropathy. We wished to identify novel genes that were upregulated in human kidney epithelial cells in response to TGFb1.The transcriptional responses for human proximal tubule epithelial cells to 10 ng/ml TGFbeta1 was examined over 24 and 48 hr
E-GEOD-2557,Transcription profiling of mouse mesangial cell line MES-13 to examine the global effects of high glucose (HG) and glucosamine (GlcN) on the transcriptome.,2007-12-01,AE_Q1;AE_Q2,False,False,True,False,True,False,GSE2557,True," programs (http://appls.niaid.nih.gov/david). Lalit Singh plsingh@med.wayne.edu submitter The MGED Ontology o1 Wayne State University School of Medicine Diabetic Nephropathy, Internal Medicine/Nephrology & Physiology, Wayne State University School of Medicine, 4646 John R., Detroit, 48201, USA An analysis"
E-GEOD-2558,Transcription profiling of mouse mesangial cells treated with transforming growth factor b1,2008-06-12,AE_Q1;AE_Q2,False,True,True,False,True,False,GSE2558,True, of high glucose and glucosamine on mesangial gene expression are mediated by TGF-beta1. The identification of these common genes will help us to investigate further their roles in the development and progression of diabetic kidney disease.   Cell culture: Stable murine mesangial (MES-13) cells
E-GEOD-29660,RNA-sequencing of TGF-M-CM-^_1-driven gene expression in human kidney cell line,2012-03-31,AE_Q1;AE_Q2,True,True,True,False,True,False,GSE29660,True,E-GEOD-29660 RNA-sequencing of TGF-M-CM-^_1-driven gene expression in human kidney cell line RNA-seq of coding RNA EFO EFO_0003738 Homo sapiens TGF-beta1 is the major cytokine driver of fibrotic scarring observed in diabetic nephropathy and other fibrosis-related diseases. RNA-sequencing offers
E-GEOD-30122,Transcriptome Analysis of Human Diabetic Kidney Disease,2011-08-02,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE30122,True,E-GEOD-30122 Transcriptome Analysis of Human Diabetic Kidney Disease transcription profiling by array EFO EFO_0002768 Homo sapiens This SuperSeries is composed of the following subset Series: GSE30528: Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Glomeruli vs. Control Glomeruli
E-GEOD-30528,Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Glomeruli vs. Control Glomeruli),2011-08-02,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE30528,True,"E-GEOD-30528 Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Glomeruli vs. Control Glomeruli) transcription profiling by array EFO EFO_0002768 Homo sapiens We identified 1,700 differentially expressed probesets in DKD glomeruli and 1,831 in diabetic tubuli; 330 probesets were commonly"
E-GEOD-30529,Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Tubuli vs. Control Tubuli),2011-08-02,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE30529,True,"E-GEOD-30529 Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Tubuli vs. Control Tubuli) transcription profiling by array EFO EFO_0002768 Homo sapiens We identified 1,700 differentially expressed probesets in DKD glomeruli and 1,831 in diabetic tubuli; 330 probesets were commonly"
E-GEOD-30566,Transcriptome Analysis of Human Diabetic Kidney Disease (Control Glomeruli vs. Control Tubuli),2011-08-02,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE30566,True,"E-GEOD-30566 Transcriptome Analysis of Human Diabetic Kidney Disease (Control Glomeruli vs. Control Tubuli) transcription profiling by array EFO EFO_0002768 Homo sapiens We identified 1,700 differentially expressed probesets in DKD glomeruli and 1,831 in diabetic tubuli; 330 probesets were commonly"
E-GEOD-32553,To investigate how the glycosylation of podocyte proteins changes during diabetic kidney disease,2011-10-02,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE32553,True,E-GEOD-32553 To investigate how the glycosylation of podocyte proteins changes during diabetic kidney disease transcription profiling by array EFO EFO_0002768 Homo sapiens Podocytes are cells of the visceral epithelium in the kidneys and form a crucial component of the glomerular filtration barrier
E-GEOD-33744,Cross-species transcriptional networks in Diabetic Glomerulopathy in mouse and man,2012-12-10,AE_Q1;AE_Q2,False,True,True,False,True,False,GSE33744,True,"E-GEOD-33744 Cross-species transcriptional networks in Diabetic Glomerulopathy in mouse and man transcription profiling by array EFO EFO_0002768 Mus musculus Murine models have been valuable instruments in defining the pathogenesis of diabetic nephropathy (DN), but they only partially recapitulate"
E-GEOD-36185,mRNA decapping factors and the exonuclease Xrn2 function in widespread premature termination of RNA polymerase II transcription,2012-04-04,AE_Q1;AE_Q2,True,False,False,False,False,False,GSE36185,True,__FC61ALC_8_CTT.wig.gz: hg18 P-GSE36185-12 Single-end 34 base reads (after removing barcodes) were mapped to the hg18 UCSC human genome (Mar. 2006) with Bowtie version 0.12.5. Genome Build: hg18_xrn2_ttf2_dkd__FC629BP_5_TAT.wig.gz: hg18 P-GSE36185-11 Single-end 34 base reads (after removing barcodes) were
E-GEOD-36336,Expression data from kidneys of diabetic WT and T3-/- mice,2014-04-25,AE_Q1;AE_Q2,False,True,True,False,True,False,GSE36336,True, in diabetic kidney disease is unclear. We used microarray profiling to find genes differentially expressed in the 2 genotypes which could explain the more severe diabetic kidney disease features observed in T3-/- mice compared to the WT littermates. Total RNA was extracted from 3 WT and 3 Timp3-/- diabetic
E-GEOD-4117,Transcription profiling of human patients with type 2 diabetes to investigate the effects of laughter on gene expression,2008-06-12,AE_Q1;AE_Q2,True,False,False,False,False,False,GSE4117,True,"E-GEOD-4117 Transcription profiling of human patients with type 2 diabetes to investigate the effects of laughter on gene expression transcription profiling by array EFO EFO_0002768 Homo sapiens Sample tissue: peripheral blood; Disease: normal subject, patients with type 2 diabetes (diabetic"
E-GEOD-44375,Next generation sequencing in ZS rats,2014-02-06,AE_Q1;AE_Q2,False,True,True,False,True,False,GSE44375,True,E-GEOD-44375 Next generation sequencing in ZS rats RNA-seq of coding RNA EFO EFO_0003738 Rattus norvegicus Next generation sequencing in a rat model of diabetic nephropathy was employed to study in depth the pathogenic alterations involved in progressive diabetic kidney damage. We employed
E-GEOD-46897,Cyclodextrin protects podocytes in diabetic kidney disease [HumanWG-6 v3.0 array],2013-07-11,AE_Q1;AE_Q2,True,True,True,False,True,False,GSE46897,True,E-GEOD-46897 Cyclodextrin protects podocytes in diabetic kidney disease [HumanWG-6 v3.0 array] transcription profiling by array EFO EFO_0002768 Homo sapiens Analysis of gene expression changes in differentiated human podocytes treated with the serum from patients with (DKD+) or without (DKD-
E-GEOD-46899,Cyclodextrin protects podocytes in diabetic kidney disease [HumanHT-12 V4.0 array],2013-07-13,AE_Q1;AE_Q2,True,True,True,False,True,False,GSE46899,True,E-GEOD-46899 Cyclodextrin protects podocytes in diabetic kidney disease [HumanHT-12 V4.0 array] transcription profiling by array EFO EFO_0002768 Homo sapiens Analysis of gene expression changes in differentiated human podocytes treated with the serum from patients with (DKD+) or without (DKD-
E-GEOD-46900,Cyclodextrin protects podocytes in diabetic kidney disease.,2013-07-11,AE_Q1;AE_Q2,True,True,True,False,False,True,GSE46900,True,E-GEOD-46900 Cyclodextrin protects podocytes in diabetic kidney disease. transcription profiling by array EFO EFO_0002768 Homo sapiens This SuperSeries is composed of the SubSeries listed below. Refer to individual Series P-GSE46900-1 normalization data transformation protocol The data were
E-GEOD-47183,In silico nano-dissection: defining cell type specificity at transcriptional level in human disease (glomeruli),2013-08-06,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE47183,True," Arbor, USA 122 DISEASE STATUS disease status Thin Membrane Disease focal segmental glomerulosclerosis Focal and Segmental Glomerulosclerosis and Minimal Change Disease Rapidly progressive glomerulonephritis membranous glomerulonephritis Minimal Change Disease diabetic nephropathy Tumor Nephrectomy 17"
E-GEOD-47184,In silico nano-dissection: defining cell type specificity at transcriptional level in human disease (tubulointerstitium),2013-08-06,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE47184,True," Dr., Ann Arbor, USA 107 DISEASE STATUS disease status IGA Nephropathy Tumor Nephrectomy Hypertensive nephropathy Thin Membrane Disease Rapidly progressive glomerulonephritis Minimal Change Disease diabetic nephropathy not specified Focal and Segmental Glomerulosclerosis and�Minimal Change Disease"
E-GEOD-47185,In silico nano-dissection: defining cell type specificity at transcriptional level in human disease,2013-08-06,AE_Q1;AE_Q2,True,True,True,False,False,True,GSE47185,True, and Segmental Glomerulosclerosis and Minimal Change Disease Minimal Change Disease focal segmental glomerulosclerosis not specified Tumor Nephrectomy diabetic nephropathy Focal and Segmental Glomerulosclerosis and�Minimal Change Disease IGA Nephropathy Rapidly progressive glomerulonephritis Hypertensive
E-GEOD-48318,Differential miRNA expression profiling of urinary exosomes from normo- and microalbuminuric type 1 diabetic patients,2014-02-14,AE_Q1;AE_Q2,False,False,True,False,False,False,GSE48318,True," incipient diabetic nephropathy. Overnight urine collections were obtained from normo- and microalbuminuric type 1 diabetic patients. Urines were pre-cleared by both centrifugation and filtration, urinary exosomes were isolated by two consecutive ultracentrifugation steps and total RNA extracted"
E-GEOD-50892,Expression data from kidney biopsies of liver disease patients,2013-09-17,AE_Q1;AE_Q2,False,True,True,False,False,False,GSE50892,True," duplication/fibrosis intimal duplication intimal fibrosis,duplication n widening 1 0 2 NA P 1.7 1.3 1.4 1.9 2.8 1.5 3 African American Asian Hispanic White 50 39 57 63 30 0.13 0.11 Nodular glomerulosclerosis, Diabetic Nephropathy Mild mesangial immune complex glomerulonephritis, Severe tubular"
E-GEOD-51205,Alteration of renal gene expression affected by atypical chemokine receptor D6 knockout in diabetic OVE26 (OVE) mice,2013-10-10,AE_Q1;AE_Q2,False,True,True,False,True,False,GSE51205,True," extraction in diabetic mice with or without D6 gene knockout, their controls are age and sex matched D6 deficient or wild type mice on FVB background. These data are used to analyze the effects of D6 deletion on progression of diabetic nephropathy. D6 knockout mice were crossing with FVB stain to produce"
E-GEOD-51598,CTCF/CP190 and ISWI dependent regulation of nucleosome occupancy [ChIP-seq],2014-08-11,AE_Q1;AE_Q2,False,False,True,False,False,False,GSE51598,True," for enhancer-blocking. Bohla D, Herold M, Panzer I, Buxa MK, Ali T, Demmers J, KrM-oM-?M-=ger M, Scharfe M, Jarek M, Bartkuhn M, Renkawitz R 10.1371/journal.pone.0107765 DOI 3 RNAi treatment ISWI RNAi DKD (CTCF/CP190 RNAi) luciferase RNAi S2 H3 ab1791 Abcam Sequencing assay DNA assay Processed Data IDF"
E-GEOD-51599,CTCF/CP190 and ISWI dependent regulation of nucleosome occupancy [MNase-seq],2014-08-11,AE_Q1;AE_Q2,False,False,True,False,False,False,GSE51599,True,.0107765 DOI 3 RNAi treatment ISWI RNAi DKD (CTCF/CP190 RNAi) luciferase RNAi S2 Sequencing assay DNA assay Processed Data IDF File tab-delimited text Investigation Design Format (IDF) SDRF File Sample and Data Relationship Format (SDRF) - * ENA GSM1248974_nucleosomes_luci_kd_dm3.wig GSM1248976
E-GEOD-51600,CTCF/CP190 and ISWI dependent regulation of nucleosome occupancy,2014-08-11,AE_Q1;AE_Q2,False,False,True,False,False,False,GSE51600,True," marek.bartkuhn@gen.bio.uni-giessen.de submitter o1 Rainer Renkawitz Justus-Liebig-University Giessen Institute for Genetics, Justus-Liebig-University Giessen, Heinrich-Buff-Ring 58, Giessen, Hessen, Germany 6 RNAI TREATMENT RNAi treatment ISWI RNAi DKD (CTCF/CP190 RNAi) luciferase RNAi 2 S2 H3"
E-GEOD-53548,The TIMP3/Apelin axis Regulates Atherosclerosis and Heart Metabolism leading to increased mortality in ApoE null Mice,2015-01-01,AE_Q1;AE_Q2,False,False,True,False,True,False,GSE53548,True,", the latter showing increased atherosclerosis, increased mortality and arrhythmias compared to ApoE-/- mice.  We have previously described Timp3-/-mice in ( Fiorentino, L., et al., Regulation of TIMP3 in diabetic nephropathy: a role for microRNAs. Acta Diabetol, 2013) . To generate ApoE-/-Timp3-/- knockout"
E-GEOD-65561,Expression data from MSC-treated monocytes,2015-11-10,AE_Q1;AE_Q2,True,False,True,False,False,False,GSE65561,True,E-GEOD-65561 Expression data from MSC-treated monocytes transcription profiling by array EFO EFO_0002768 Homo sapiens Chronic inflammation leading to pro-inflammatory macrophage infiltration contributes to the pathogenesis of type 2 diabetes and subsequently the development of diabetic nephropathy. Mesenchymal
E-GEOD-69074,RTN1 IS A NOVEL MEDIATOR FOR PROGRESSION OF KIDNEY DISEASE,2015-05-20,AE_Q1;AE_Q2,True,True,True,False,False,True,GSE69074,True," reticulum (ER)-associated protein reticulon-1, RTN1, and the severity of kidney disease. Of the three known RTN1 isoforms, only RTN1A protein expression was increased in kidneys of murine models of HIVAN, diabetic nephropathy (DN), and renal fibrosis and humans with HIVAN and DN. Both mRNA"
E-GEOD-69438,Tissue Transcriptome Driven Identification of Epidermal Growth Factor as a Chronic Kidney Disease Biomarker,2015-12-14,AE_Q1;AE_Q2,False,True,True,False,False,False,GSE69438,True," disease diabetic nephropathy lupus nephritis 16 ""GSM1701244_Cprobe_20.CEL"" OR ""GSM1701243_Cprobe_18.CEL"" OR ""GSM1701242_Cprobe_5.CEL"" OR ""GSM1701241_Cprobe_9.CEL"" OR ""GSM1701240_Cprobe_16.CEL"" OR ""GSM1701239_Cprobe_22.CEL"" OR ""GSM1701238_Cprobe_27.CEL"" OR ""GSM1701237_Cprobe_21.CEL"" OR ""GSM1701236_Cprobe"
E-GEOD-77493,Genome wide map of  long noncoding RNA Tug1 binding sites in cultured mouse podocytes,2016-10-24,AE_Q1;AE_Q2,False,False,False,False,True,False,GSE77493,True,"/L) supplemented with 5% FBS and 1% Antibiotics. Shawn Badal geo@ncbi.nlm.nih.gov submitter o1 Farhad Danesh Jianyin Long MD Anderson Cancer Center Nephrology, MD Anderson Cancer Center, 2121 W. Holcombe Blvd, Houston, TX, USA Long noncoding RNA Tug1 regulates mitochondrial bioenergetics in diabetic"
E-GEOD-77717,RNA-Seq of Kidney Glomeruli from Type 2 diabetic (db/db) and non-diabetic mice,2016-10-24,AE_Q1;AE_Q2,False,True,True,True,False,False,GSE77717,True,". In order to investigate the consequences of hyperglycemia on the pathogenesis and progression of diabetic nephropathy Kidney glomeruli from 3 diabetic and 3 non-diabetic, control mice were isolated and RNA purified for RNA-Seq analysis on the Illumina HiSeq 2000. The goal of the project was to generate"
E-GEOD-83144,Alteration in microRNA-25 Balance Causes Heart and Kidney Impairment,2016-06-10,AE_Q1;AE_Q2,True,True,True,False,False,True,GSE83144,True," kidney dysfunction. With the expectation that restoring miR-25 might ameliorate kidney injury, we demonstrated that increasing miR-25 reversed proteinuria and kidney fibrosis in diabetic nephropathy. MiR-25 expression in humans is initially decreased at the onset of heart failure but is later"
E-GEOD-84663,Glomerular Transcriptome Profiling Comparing DBA/2 and C57BL/6 mice,2016-07-22,AE_Q1;AE_Q2,False,True,True,True,False,False,GSE84663,True,"E-GEOD-84663 Glomerular Transcriptome Profiling Comparing DBA/2 and C57BL/6 mice transcription profiling by array EFO EFO_0002768 Mus musculus Comparing glomerular gene expression level between mice with different susceptibilities to diabetic nephropathy, DBA/2 (susceptible) and C57BL/6 (resistant"
E-GEOD-84908,Tacrolimus in diabetic nephropathy,2016-08-01,AE_Q1;AE_Q2,True,False,True,False,False,False,GSE84908,True,E-GEOD-84908 Tacrolimus in diabetic nephropathy transcription profiling by array EFO EFO_0002768 Homo sapiens Validation of predicted gene expression of human mesangial cells after 24h Tacrolimus stimulus Objective: To evaluate tacrolimus as therapeutic option for diabetic nephropathy (DN) based
E-GEOD-85569,Genetic Susceptibility to Diabetic Nephropathy is Related to Pro-inflammatory Pathways,2016-08-13,AE_Q1;AE_Q2,False,False,True,False,False,False,GSE85569,True,"E-GEOD-85569 Genetic Susceptibility to Diabetic Nephropathy is Related to Pro-inflammatory Pathways transcription profiling by array EFO EFO_0002768 Mus musculus Diabetic nephropathy (DN) is a leading cause of ESRD worldwide, but its molecular pathogenesis is not well-defined"
E-MEXP-3165,Interaction between diabetes and hypertension in a rat model of diabetic nephropathy,2011-12-31,AE_Q1;AE_Q2,False,False,True,False,True,False,,False,E-MEXP-3165 Interaction between diabetes and hypertension in a rat model of diabetic nephropathy transcription profiling by array EFO EFO_0002768 Rattus norvegicus Fisher male Cyp1a1mRen2 rats were allocated into four groups of four biological replicates each: control; streptozotocin-induced
E-MEXP-3739,Diabetes and hypertension then reversal in a rat model of diabetic nephropathy,2013-04-10,AE_Q1;AE_Q2,False,False,True,False,True,False,,False,E-MEXP-3739 Diabetes and hypertension then reversal in a rat model of diabetic nephropathy transcription profiling by array EFO EFO_0002768 Rattus norvegicus Fisher male Cyp1a1mRen2 rats were allocated into three groups of four or eight biological replicates each: control; combined induced diabetes
E-MTAB-12135,Transcriptome analysis identifies oxidative stress injury biomarkers for Diabetic Nephropathy,2022-09-16,AE_Q1;AE_Q2,False,False,True,False,False,False,,False,", Zacatecas, México Universidad Autónoma de Zacatecas, Zacatecas 98000, Mexico 24 disease state design EFO:0001756 disease normal prediabetes syndrome type 2 diabetes nephropathy type II diabetes mellitus 6 ""CTRL_141.txt"" OR ""CTRL_142.txt"" OR ""CTRL_171.txt"" OR ""CTRL_177.txt"" OR ""CTRL_296.txt"" OR ""CTRL_309"
E-MTAB-13080,Cellular metabolism genes expression in the onset of diabetic nephropathy: an experimental model of diabetes mellitus,2024-06-07,AE_Q1;AE_Q2,False,False,True,False,False,False,,False,"E-MTAB-13080 Cellular metabolism genes expression in the onset of diabetic nephropathy: an experimental model of diabetes mellitus transcription profiling by RT-PCR Rattus norvegicus To evaluate expression profile in the genes in rats induced to diabetes in the determined periods: 7, 21, 30 and 40"
E-MTAB-4166,Urinary exosomal miRNA signatures in type II diabetic nephropathy patients,2016-11-03,AE_Q1;AE_Q2,True,False,True,False,False,False,,False,"E-MTAB-4166 Urinary exosomal miRNA signatures in type II diabetic nephropathy patients microRNA profiling by array EFO EFO_0000753 Homo sapiens Urinary exosomal miRNA profiling was conducted in urinary exosomes obtained from 8 healthy controls (C), 8 patients with type II diabetes (T2D) and 8"
E-MTAB-9255,Urinary bladder disease in rat experimental diabetes mellitus,2021-07-17,AE_Q1;AE_Q2,False,True,True,False,True,False,,False,E-MTAB-9255 Urinary bladder disease in rat experimental diabetes mellitus transcription profiling by array EFO EFO_0002768 Animal - One-color microarray Rattus norvegicus Diabetes mellitus (DM) is a leading cause of chronic kidney disease and the pathobiology of diabetic nephropathy is widely
