accession,title,summary,organism,gds_type,n_samples,already_in_primary_geo_union,priority_screen
GSE30122,Transcriptome Analysis of Human Diabetic Kidney Disease,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,Expression profiling by array,69,True,True
GSE30258,Identification of miR-181 target genes and a common prognostic gene signature in AML,"Increased expression levels of miR-181 family members have been shown to be associated with favorable outcome in patients with cytogenetically normal acute myeloid leukemia. Here we show that increased expression of miR-181a and miR-181b is also significantly (P < .05; Cox regression) associated with favorable overall survival in cytogenetically abnormal AML (CA-AML) patients. We further show that up-regulation of a gene signature composed of 4 potential miR-181 targets (including HOXA7, HOXA9, HOXA11, and PBX3), associated with down-regulation of miR-181 family members, is an independent predictor of adverse overall survival on multivariable testing in analysis of 183 CA-AML patients. The independent prognostic impact of this 4-homeobox-gene signature was confirmed in a validation set of 271 CA-AML patients. Furthermore, our in vitro and in vivo studies indicated that ectopic expression of miR-181b significantly promoted apoptosis and inhibited viability/proliferation of leukemic cells and delayed leukemogenesis; such effects could be reversed by forced expression of PBX3. Thus, the up-regulation of the 4 homeobox genes resulting from the down-regulation of miR-181 family members probably contribute to the poor prognosis of patients with nonfavorable CA-AML. Restoring expression of miR-181b and/or targeting the HOXA/PBX3 pathways may provide new strategies to improve survival substantially.  In addition, this data set has been used to identify a common prognostic gene signature (Li Z. et al. unpublished).",Homo sapiens,Expression profiling by array,65,False,False
GSE30528,Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Glomeruli vs. Control Glomeruli),"We identified 1,700 differentially expressed probesets in DKD glomeruli and 1,831 in diabetic tubuli; 330 probesets were commonly differentially expressed in both compartments. The canonical complement signaling pathway was determined to be statistically differentially regulated in both DKD glomeruli and tubuli and was associated with increased glomerulosclerosis even in an additional set of DKD samples.",Homo sapiens,Expression profiling by array,22,True,True
GSE30529,Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Tubuli vs. Control Tubuli),"We identified 1,700 differentially expressed probesets in DKD glomeruli and 1,831 in diabetic tubuli; 330 probesets were commonly differentially expressed in both compartments. The canonical complement signaling pathway was determined to be statistically differentially regulated in both DKD glomeruli and tubuli and was associated with increased glomerulosclerosis even in an additional set of DKD samples.",Homo sapiens,Expression profiling by array,22,True,True
GSE30566,Transcriptome Analysis of Human Diabetic Kidney Disease (Control Glomeruli vs. Control Tubuli),"We identified 1,700 differentially expressed probesets in DKD glomeruli and 1,831 in diabetic tubuli; 330 probesets were commonly differentially expressed in both compartments. The canonical complement signaling pathway was determined to be statistically differentially regulated in both DKD glomeruli and tubuli and was associated with increased glomerulosclerosis even in an additional set of DKD samples.",Homo sapiens,Expression profiling by array,25,True,True
GSE32591,Expression data from human with lupus nephritis (LN),"Nephritis (LN) is a serious manifestation of SLE. Therapeutic studies in mouse LN models do not always predict outcomes of human therapeutic trials, raising concerns about the human relevance of these models. In this study we used an unbiased transcriptional network approach to define similarities and differences between three lupus models and human LN. Affymetrix-based expression profiles were analyzed using Genomatix Bibliosphere software and transcriptional networks were compared using the Tool for Approximate LargE graph matching (TALE).  The 20 network hubs (nodes) shared between all three models and human LN reflect key pathologic processes, namely immune cell infiltration/activation, macrophage/dendritic cell activation, endothelial cell activation/injury and tissue remodeling/fibrosis. Each model also shares unique features with human LN. Pathway analysis of the TALE nodes highlighted macrophage/DC activation as a cross-species shared feature. To distinguish which genes and activation pathways might derive from mononuclear phagocytes in the human kidneys the gene expression profile of isolated NZB/W renal mononuclear cells was compared with human LN kidney profiles. Network analysis of the shared signature highlighted NFkappaB1 and PPARgamma as major hubs in the tubulointerstitial and glomerular networks respectively. Key nodes in the renal macrophage inflammatory response form the basis for further mechanistic and therapeutic studies. We used microarrays to analyze the transcriptome of microdissected renal biopsies from patients with lupus nephritis (LN)",Homo sapiens,Expression profiling by array,93,False,False
GSE43769,Expression data from human Th1 and Th2 cells,"T-helper cells differentiate from naïve precursors into multiple lineages, including Th1, Th2, Th17 and inducible Treg, in humans and mice. The identification of each lineage is currently determined by examination of a small number of genes encoding hallmark cytokines and/or transcription factors in both species To gain a better understanding of human T-helper cell function we have performed detailed transcriptional profiling of highly polarized Th1 and Th2 cells in both resting and activated states examining gene and miRNA expression",Homo sapiens,Expression profiling by array,12,False,False
GSE47183,In silico nano-dissection: defining cell type specificity at transcriptional level in human disease (glomeruli),"To identify genes with cell-lineage-specific expression not accessible by experimental micro-dissection, we developed a genome-scale iterative method, in-silico nano-dissection, which leverages high-throughput functional-genomics data from tissue homogenates using a machine-learning framework. This study applied nano-dissection to chronic kidney disease and identified transcripts specific to podocytes, key cells in the glomerular filter responsible for hereditary proteinuric syndromes and acquired CKD. In-silico prediction accuracy exceeded predictions derived from fluorescence-tagged-murine podocytes, identified genes recently implicated in hereditary glomerular disease and predicted genes significantly correlated with kidney function. The nano-dissection method is broadly applicable to define lineage specificity in many functional and disease contexts.",Homo sapiens,Expression profiling by array,122,True,False
GSE47184,In silico nano-dissection: defining cell type specificity at transcriptional level in human disease (tubulointerstitium),"To identify genes with cell-lineage-specific expression not accessible by experimental micro-dissection, we developed a genome-scale iterative method, in-silico nano-dissection, which leverages high-throughput functional-genomics data from tissue homogenates using a machine-learning framework. This study applied nano-dissection to chronic kidney disease and identified transcripts specific to podocytes, key cells in the glomerular filter responsible for hereditary proteinuric syndromes and acquired CKD. In-silico prediction accuracy exceeded predictions derived from fluorescence-tagged-murine podocytes, identified genes recently implicated in hereditary glomerular disease and predicted genes significantly correlated with kidney function. The nano-dissection method is broadly applicable to define lineage specificity in many functional and disease contexts.",Homo sapiens,Expression profiling by array,107,True,False
GSE47185,In silico nano-dissection: defining cell type specificity at transcriptional level in human disease,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,Expression profiling by array,229,True,False
GSE48318,Differential miRNA expression profiling of urinary exosomes from normo- and microalbuminuric type 1 diabetic patients,"The aim of this study was to compare miRNA expression in urinary exosomes from type 1 diabetic patients with and without incipient diabetic nephropathy. Overnight urine collections were obtained from normo- and microalbuminuric type 1 diabetic patients. Urines were pre-cleared by both centrifugation and filtration, urinary exosomes were isolated by two consecutive ultracentrifugation steps and total RNA extracted. Differential miRNA profiling was performed using a Human TaqMan miRNA Array A on an 7900HT Fast Real-Time PCR System. Results showed that expression of 22 urinary exosomal miRNAs differed  in incipient diabetic nephropathy.",Homo sapiens,Expression profiling by RT-PCR,4,True,False
GSE51674,miRNA-27b-3p and miRNA-1228-3p correlate with the progression of Kidney Fibrosis in Diabetic Nephropathy,"Diabetic Nephropathy (DN) is a chronic complication of diabetes and the primary cause of end stage renal disease. DN can be differentially diagnosed only through histological investigation. Therefore, there is need for molecular biomarkers, such as miRNAs, to discriminate among different histological lesions in diabetics. Aim of this study was to identify a pattern of differentially expressed miRNAs in kidney biopsies of DN patients and to assess their potential as differential diagnostic biomarkers. Using microarray, we assayed miRNA expression in kidney tissue from 8 DN patients, 6 diabetic patients with membranous nephropathy and 4 patients with normal histology. Nine miRNAs were differentially expressed among the three groups of patients, thus underlying their potential role as markers of specific histological damage. In silico we identified 2 miRNAs (i.e., miR-27b-3p and  miR-1228-3p) showing an interaction with UBE2v1, an ubiquitin-conjugating E2 enzyme variant that mediates the formation of lysine 63-linked ubiquitin chains, a mechanism we showed as involved in DN kidney fibrosis. Both miRNAs were confirmed to be down-regulated in DN biopsies, using qPCR and in situ hybridization, and in urines of DN patients. Interestingly, the urinary levels of both miRNAs were also able to discriminate among different degrees of renal fibrosis. Finally, we showed that the combined urinary expression of both miRNAs was also able to discriminate DN patients from other glomerulonephritides, both in the presence and absence of T2D. We identified two regulatory miRNAs potentially useful as diagnostic biomarkers of tubular-interstitial fibrosis in diabetic patients with DN.",Homo sapiens,Non-coding RNA profiling by array,16,True,False
GSE66494,Development of gene expression profiles in human chronic kidney disease,"A microarray analysis with renal biopsy specimens from CKD patients was conducted in order to identify the responsible genes associated with tubulointerstitial fibrosis and tubular cell injury in CKD. This study showed microarray profiles in total 53 biopsy specimens of CKD patients. In the discovery set, 554 down-regulated and 226 up-regulated signatures were identified. Then, the expressional changes of these genes were examined in the validation set.",Homo sapiens,Expression profiling by array,61,False,False
GSE93804,Next Generation Sequencing of CNS-infiltrating Tox-sufficient and -deficient OT-1 cells in ODC-OVA mice 7 days after LCMV-OVA infection,Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goal of this study is to compare the transcriptome of CNS-infiltrating OT-1 WT and Tox-deficient cells during effector phase (7 days after infection with LCMV-OVA),Mus musculus,Expression profiling by high throughput sequencing,6,False,False
GSE96804,Exon Level Expression Profiling of Diabetic Nephropathy,Transcriptome comparison of glomeruli from kidneys with diabetic nephropathy (DN) and glomeruli from the unaffected portion of tumor nephrectomies. Transcritomics profile of glomeruli in DN patients explored SRGAP2 was strongly associated with proteinuria and involved in podocyte cytoskeleton organization,Homo sapiens,Expression profiling by array,61,True,False
GSE99339,Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts [glomeruli],"Accumulating evidence suggests that dysregulation of hypoxia-regulated transcriptional mechanisms is involved in development of chronic kidney diseases (CKD). However, it remains unclear how hypoxia-induced transcription factors (HIFs) and subsequent biological processes contribute to CKD development and progression. In our study, genome-wide expression profiles of more than 200 renal biopsies from patients with different CKD stages revealed significant correlation of HIF-target genes with eGFR in glomeruli and tubulointerstitium. These correlations were positive and negative and in part compartment-specific. Microarrays of proximal tubular cells and podocytes with stable HIF1α and/or HIF2α suppression displayed cell type-specific HIF1/HIF2-dependencies as well as dysregulation of several pathways. WGCNA analysis identified gene sets that were highly coregulated within modules. Characterization of the modules revealed common as well as cell group- and condition-specific pathways, GO-Terms and transcription factors. Gene expression analysis of the hypoxia-interconnected pathways in patients with different CKD stages revealed an increased dysregulation with loss of renal function. In conclusion, our data clearly point to a compartment- and cell type-specific dysregulation of hypoxia-associated gene transcripts and might help to improve the understanding of hypoxia, HIF dysregulation, and transcriptional program response in CKD.",Homo sapiens,Expression profiling by array,187,True,False
GSE99340,Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,Expression profiling by array,413,True,False
GSE104948,Glomerular Transcriptome from European Renal cDNA Bank subjects and living donors,"summary : Glomerular Transcriptome from European Renal cDNA Bank subjects and living donors. Samples included in this analysis have been previously analyzed using older CDF definitions and are included under previous GEO submissions - GSE47183 (chronic kidney disease samples), and GSE32591 (IgA nephropathy samples).  ",Homo sapiens,Expression profiling by array,196,True,False
GSE104954,Tubulointerstitial transcriptome from ERCB subjects with chronic kidney disease and living donor biopsies.,"summary : Tubulointerstitial transcriptome from ERCB subjects with chronic kidney disease and living donor biopsies. Samples included in this analysis have been previously analyzed using older CDF definitions and are included under previous GEO submissions - GSE47184 (chronic kidney disease samples), and GSE32591 (IgA nephropathy samples).  ",Homo sapiens,Expression profiling by array,195,True,False
GSE111154,RNA Expression data for early diabetic nephropathy (EDN),"There is a temporal window from the time diabetes is diagnosed to the appearance of overt kidney disease during which time the disease progresses quietly without detection.  Currently, there is no way to detect early diabetic nephropathy (EDN). Here we performed an unbiased assessment of gene-expression analysis of postmortem human kidneys using microarrays to identify candidate genes that may contribute to EDN.",Homo sapiens,Expression profiling by array,8,True,True
GSE116626,Specific biomarkers Associated with Active and Chronic Renal Lesions in IgA Nephropathy. A Multicenter Study,Specific molecular biomarkers were detected in kidney biopsy of IgA nephropathy characterizing active (E and C) and chronic (T) renal  lesions compared with other non-IgA glomerulonephritis and living donors,Homo sapiens,Expression profiling by array,81,False,False
GSE117085,Roux-en-Y Gastric Bypass Reduces Podocyte Injury in Diabetic Kidney Disease,"Podocyte injury in diabetic kidney disease contributes to the development of albuminuria and subsequent renal decline. Clinically, gastric bypass surgery is associated with reductions in albuminuria, and rodent studies demonstrate coherent improvements in renal histology. We aimed to investigate the mechanisms underpinning remission of albuminuria following gastric bypass focussing on podocyte injury. Firstly, we tracked the evolution of albuminuria and cognate evidence of histological and ultrastructural damage to the glomerulus in male Zucker Diabetic Fatty rats. Secondly, we examined the impact of gastric bypass in these rats, focussing on podocyte injury. Thirdly, we conducted a global transcriptomic study profiling the shift in the renal transcriptome in the Zucker Diabetic Fatty rats rat and its relevance to human disease. Lastly, we explored whether gastric bypass could reverse the changes seen in the disease associated transcriptome. Albuminuria in the Zucker Diabetic Fatty rat developed by 12 weeks of age. This was accompanied by glomerulomegaly, podocyte stress and ultrastructural evidence of podocyte dedifferentiation. When animals underwent gastric bypass at 12 weeks of age, marked reductions in albuminuria in association with normalisation of glomerular tuft size, attenuation of podocyte stress and improvements in podocyte foot process morphology were observed within 2 months of surgery. A characteristic disease associated gene expression signature was observed in the kidneys of Zucker Diabetic Fatty rats, with a core set of alterations conserved in global analysis of the human DKD transcriptome. Many of the shared gene expression alterations were reversed by gastric bypass. Reductions in podocyte injury represent a key mechanism underpinning the remission of albuminuria following gastric bypass.",Rattus norvegicus,Expression profiling by high throughput sequencing,18,False,True
GSE121233,Exon Level Expression Profiling of focal segmental glomerulosclerosis,Transcriptome comparison of glomeruli from kidneys with focal segmental glomerulosclerosis (FSGS) and glomeruli from the unaffected portion of tumor nephrectomies. High-density Affymetrix Human Transcriptome Arrays (HTA) 2.0 were used for the gene expression analysis.,Homo sapiens,Expression profiling by array,10,False,False
GSE121862,A single-nucleus RNA-sequencing pipeline to decipher the molecular anatomy and pathophysiology of human kidneys,"Defining cellular and molecular identities within the kidney is necessary to understand its organization and function in health and disease. Here we demonstrate a reproducible method with minimal artifacts for single-nucleus Droplet-based RNA sequencing (snDrop-Seq) that we use to resolve thirty distinct cell populations in human adult kidney. We define molecular transition states along more than ten nephron segments spanning two major kidney regions. We further delineate cell type-specific expression of genes associated with chronic kidney disease, diabetes and hypertension, providing insight into possible targeted therapies. This includes expression of a hypertension-associated mechano-sensory ion channel in mesangial cells, and identification of proximal tubule cell populations defined by pathogenic expression signatures. Our fully optimized, quality-controlled transcriptomic profiling pipeline constitutes a tool for the generation of healthy and diseased molecular atlases applicable to clinical samples.",Homo sapiens,Expression profiling by high throughput sequencing,47,True,False
GSE125779,Transcriptome analysis of tubulointerstitial tissues of patients with focal segmental glomerulosclerosis,Transcriptome comparison of tubulointerstitial tissues from kidneys with focal segmental glomerulosclerosis (FSGS) and tubulointerstitial tissues from the unaffected portion of surgical nephrectomies. High-density Affymetrix Human Transcriptome Arrays (HTA) 2.0 were used for the gene expression analysis.,Homo sapiens,Expression profiling by array,16,False,False
GSE129973,Exon Level Expression Profiling of Focal Segmental glomerulosclerosis (FSGS),Transcriptome comparison of glomeruli from kidneys with FSGS and glomeruli from the unaffected portion of tumor nephrectomies. This study aims to investigate the pathogenesis and the mechanism of FSGS,Homo sapiens,Expression profiling by array,40,False,False
GSE131822,Galectin-8 induces functional disease markers in human osteoarthritis and cooperates with galectins-1 and -3.,"The reading of glycan-encoded signals by tissue lectins is considered a major route of the flow of biological information in many (patho)physiological processes. The arising challenge for current research is to proceed from work on a distinct protein to family-wide testing of lectin function. Having previously identified homodimeric galectin-1 and chimera-type galectin-3 as molecular switches in osteoarthritis progression, we here provide proof-of-principle evidence for an intra-network cooperation of galectins with three types of modular architecture. We show that the presence of tandem-repeat-type galectin-8 significantly correlated with cartilage degeneration and that it is secreted by osteoarthritic chondrocytes. Glycan-inhibitable surface binding of galectin-8 to these cells increased gene transcription and the secretion of functional disease markers. The natural variant galectin-8 (F19Y) was less active than the prevalent form. Genome-wide array analysis revealed induction of a pro-degradative/inflammatory gene signature, largely under control of NF-κB signaling. This signature overlapped with respective gene-expression patterns elicited by galectins-1 and -3, but also presented supplementary features. Functional assays with mixtures of galectins that mimic the pathophysiological status unveiled cooperation between the three galectins. Our findings shape the novel concept to consider individual galectins as part of a so far not realized teamwork in osteoarthritis pathogenesis, with relevance beyond this disease.",Homo sapiens,Expression profiling by array,10,False,False
GSE131882,The Single Cell Transcriptomic Landscape of Early Human Diabetic Nephropathy,We report the early transcriptional changes in human diabetic nephropathy by single nucleus RNA sequencing,Homo sapiens,Expression profiling by high throughput sequencing,6,True,False
GSE134431,Deregulated immune signature orchestrated by FOXM1 impairs human diabetic wound healing,"We performed RNA-seq on tissue biopsies derived from patients with DFUs and compared it to human oral and skin wounds to identify the molecular mechanisms and transcriptional networks that are deregulated in DFUs. Our results identified a unique inflammatory transcriptional signature unique to oral and skin wounds involved in promoting cell proliferation and cell survival of immune cells that are deficient in DFUs. In addition, we identified a signature immune-cell profile in which activation and proliferation of macrophages and neutrophils were absent in DFUs. These results suggest that a deregulated immune response in which impaired activation, proliferation and survival of immune cells contribute to pathogenesis of DFUs and provides novel avenues for development of therapies aimed at reprogramming DFUs into healing-competent wounds.",Homo sapiens,Expression profiling by high throughput sequencing,21,False,False
GSE134998,"MicroRNA in plasma, Newly diagnosed untreated diabetic cases and healthy controls","We examined the plasma miRNA among 113 newly diagnosed untreated diabetic cases and 113 healthy controls from DFTJ cohort by miRNA array screening and Taqman real-time PCR validation. After prediction of miRNA target genes, the low-abundance proteins coded by miR-193b-3p target genes were explored in plasma of the same population. We further validated the target effect and potential cell function of differentially expressed miRNA in HepG2 cells.",Rattus norvegicus; Homo sapiens; Mus musculus,Non-coding RNA profiling by array,30,False,False
GSE135390,RNA-seq of human CD4+ T cell subsets,"After activation, CD4+ T helper (Th) cells differentiate into functionally specialized populations that coordinate distinct immune responses and protect against different types of pathogens.  In humans, these effector and memory Th cell subsets can be readily identified in peripheral blood based on their differential expression of chemokine receptors that govern their homeostatic and inflammatory trafficking.  Foxp3+ regulatory T (Treg) cells can also be divided into subsets that phenotypically mirror each of these effector populations, and share expression of key transcription factors and effector cytokines.  In this study, we performed comprehensive transcriptional profiling of 11 phenotypically distinct Th and Treg cell subsets sorted from peripheral blood of healthy individuals.  Despite their shared phenotypes, we found that mirror Th and Treg subsets were transcriptionally dissimilar, and that Treg cell populations showed limited transcriptional diversity compared to Th cells. We identified core transcriptional signatures shared across all Th and Treg cell populations, and unique signatures that define each of the Th or Treg populations.  Finally, we applied these signatures to bulk Th and Treg RNA-seq data and found enrichment of specific Th and Treg cell populations in different human tissues.  These results further define the molecular basis for the functional specialization and differentiation of Th and Treg cell populations, and provide a new resource for examining Th and Treg specialization in RNA-seq data.",Homo sapiens,Expression profiling by high throughput sequencing,33,False,False
GSE141115,Systematic assessment of tissue dissociation and storage biases in single-cell and single-nucleus RNA-seq workflows,"Background: Single-cell RNA sequencing has been widely adopted to estimate the cellular composition of heterogeneous tissues and obtain transcriptional profiles of individual cells. Multiple approaches for optimal sample dissociation and storage of single cells have been proposed as have single-nuclei profiling methods. What has been lacking is a systematic comparison of their relative biases and benefits.  Results: Here, we compare gene expression and cellular composition of single cell suspensions prepared from adult mouse kidney using two tissue dissociation protocols. For each sample we also compare fresh cells to cryopreserved and methanol-fixed cells. Lastly, we compare this single-cell data to that generated using three single-nucleus RNA sequencing workflows. Our data confirms prior reports that digestion on ice avoids the stress response observed with 37°C dissociation. It also reveals cell types more abundant either in the cold or warm dissociations that may represent populations that require gentler or harsher conditions to be released intact. For cell storage, cryopreservation of dissociated cells results in a major loss of epithelial cell types; in contrast, methanol fixation maintains the cellular composition but suffers from ambient RNA leakage. Finally, cell type composition differences are observed between single-cell and single-nucleus RNA sequencing libraries. In particular, we note an under-representation of T, B and NK lymphocytes in the single-nucleus libraries. Conclusions: Systematic comparison of recovered cell types and their transcriptional profiles across the workflows has highlighted protocol-specific biases and thus enables researchers starting single cell experiments to make an informed choice.",Mus musculus,Expression profiling by high throughput sequencing,54,False,False
GSE142025,Comparison of Kidney Transcriptomic Profiles of Early and Advanced Diabetic Nephropathy Reveals Potential New Mechanisms for Disease Progression,"To identify the factors mediating the progression of di- abetic nephropathy (DN), we performed RNA sequencing of kidney biopsy samples from patients with early DN, advanced DN, and normal kidney tissue from nephrectomy samples. A set of genes that were upregulated at early but downregulated in late DN were shown to be largely renoprotective, which included genes in the retinoic acid pathway and glucagon-like peptide 1 receptor. Another group of genes that were downregulated at early but highly upregulated in advanced DN consisted mostly of genes associated with kidney disease pathogenesis, such as those related to immune response and fibrosis. Correlation with estimated glomerular filtration rate (eGFR) identified genes in the pathways of iron transport and cell differentiation to be positively associated with eGFR, while those in the immune response and fibrosis pathways were negatively associated. Correlation with various histopathological features also identified the association with the distinct gene ontological pathways. Deconvolution analysis of the RNA sequencing data set indicated a significant increase in monocytes, fibroblasts, and myofibroblasts in advanced DN kidneys. Our study thus provides potential molecular mechanisms for DN progression and association of differential gene expression with the functional and structural changes observed in patients with early and advanced DN.",Homo sapiens,Expression profiling by high throughput sequencing,36,True,False
GSE142153,Human PBMCs: Healthy vs Diabetic nephropathy vs ESRD,"Transcriptional profiling of human PBMCs comparing healthy controls, patients with diabetic nephropathy and patients with ESRD. PBMCs were analyzed as they mediate inflammatory injury. Goal was to determine effects of increasing severity of diabetic nephropathy on global PBMC gene expression. Microarray analysis of PBMCs taken from patients with varying degrees of diabetic nephropathy.",Homo sapiens,Expression profiling by array,40,True,False
GSE146615,Mendelian randomization identifies FLCN expression as a mediator of diabetic retinopathy,"The goal of the study was to identify genes whose aberrant expression can contribute to diabetic retinopathy. We determined differential response in gene expression to high glucose in lymphoblastoid cell lines derived from matched type 1 diabetic individuals with and without retinopathy. Those genes exhibiting the largest difference in glucose response between diabetic subjects with and without retinopathy were assessed for association to diabetic retinopathy utilizing genotype data from a meta-genome-wide association study. All genetic variants associated with gene expression (expression QTLs; eQTLs) of the glucose response genes were tested for association with diabetic retinopathy. We detected an enrichment of the glucose response gene eQTLs among small association p-values for diabetic retinopathy. Among these, we identified FLCN as a susceptibility gene for diabetic retinopathy. Expression of FLCN in response to glucose is greater in individuals with diabetic retinopathy compared to diabetic individuals without retinopathy. Three large, independent cohorts of diabetic individuals revealed an enhanced association of FLCN eQTL to diabetic retinopathy. Mendelian randomization confirmed a direct positive effect of increased FLCN expression on retinopathy in diabetic individuals. Together, our studies integrating genetic association and gene expression implicate FLCN as a disease gene in diabetic retinopathy.",Homo sapiens,Expression profiling by array,144,False,False
GSE160306,In-depth transcriptomic analyses investigating molecular mechanisms underlying diabetic retinopathy (totalRNA),"Diabetic Retinopathy (DR) is among the major global causes for vision loss. With the rise in diabetes prevalence, an increase in DR incidence is expected. Current understanding of both the molecular etiology and pathways involved in the initiation and progression of DR is limited. Here we analyzed mRNA and miRNA expression profiles of 80 human post-mortem retinal samples from 80 patients diagnosed with various stages of DR. We found differentially expressed transcripts to be predominantly associated with late stage DR and pathways such as hippo and gap junction signaling. A multivariate regression model identified transcripts with progressive changes throughout disease stages, which in turn displayed significant overlap with sphingolipid and cGMP−PKG signaling. Combined analysis of miRNA and mRNA expression further uncovered disease-relevant miRNA/mRNA associations as potential mechanisms of post-transcriptional regulation. Finally, integrating human retinal single cell RNA-Sequencing data revealed a continuous loss of retinal ganglion cells, and Müller cell mediated changes in histidine and β-alanine signaling. Our findings offer an unprecedented insight into the development of DR and provide potential avenues for future therapeutic intervention.",Homo sapiens,Expression profiling by high throughput sequencing,79,True,False
