cohort,source_study,compartment,reactome_id,reactome_name,genes_in_reference_set,genes_mapped,observed_mean_hedges_g,direction,permutation_method,permutation_allocations,two_sided_permutation_p,maxT_fwer_p,exchangeability_limit,bh_fdr_7_pathways,analysis_tier
GSE30528,GSE30122,glomerular,R-HSA-380108,Chemokine receptors bind chemokines,57,53,0.6187305243958318,UP,monte_carlo,10000,0.0004999500049995,0.0004999500049995,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.0011665500116655,primary glomerular meta-analysis
GSE30528,GSE30122,glomerular,R-HSA-1474244,Extracellular matrix organization,321,282,0.2985728143032311,UP,monte_carlo,10000,0.0024997500249975004,0.18368163183681632,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.004374562543745626,primary glomerular meta-analysis
GSE30528,GSE30122,glomerular,R-HSA-1234174,Cellular response to hypoxia,62,56,-0.13427994295148007,DOWN,monte_carlo,10000,0.2852714728527147,0.7253274672532747,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.31986801319868013,primary glomerular meta-analysis
GSE30528,GSE30122,glomerular,R-HSA-170834,Signaling by TGF-beta Receptor Complex,94,92,-0.07938033713936953,DOWN,monte_carlo,10000,0.21987801219878012,0.9488051194880512,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.30782921707829214,primary glomerular meta-analysis
GSE30529,GSE30122,tubulointerstitial,R-HSA-166658,Complement cascade,137,59,0.27796112169904874,UP,monte_carlo,10000,0.023997600239976002,0.19358064193580643,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.08399160083991601,compartment-specific contextual analysis
GSE30529,GSE30122,tubulointerstitial,R-HSA-9769740,Coagulation pathway,58,54,-0.129462439114755,DOWN,monte_carlo,10000,0.12408759124087591,0.8115188481151885,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.1737226277372263,compartment-specific contextual analysis
GSE30529,GSE30122,tubulointerstitial,R-HSA-202733,Cell surface interactions at the vascular wall,216,137,0.13460826356666517,UP,monte_carlo,10000,0.19908009199080093,0.7888211178882112,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.23226010732260108,compartment-specific contextual analysis
GSE30529,GSE30122,tubulointerstitial,R-HSA-380108,Chemokine receptors bind chemokines,57,53,0.34282910112455145,UP,monte_carlo,10000,0.06059394060593941,0.08049195080491951,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.10603939606039396,compartment-specific contextual analysis
GSE30529,GSE30122,tubulointerstitial,R-HSA-1474244,Extracellular matrix organization,321,282,0.23307519086956713,UP,monte_carlo,10000,0.0390960903909609,0.33396660333966605,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.0912242109122421,compartment-specific contextual analysis
GSE30529,GSE30122,tubulointerstitial,R-HSA-1234174,Cellular response to hypoxia,62,56,0.18233052273141473,UP,monte_carlo,10000,0.31326867313268675,0.5595440455954405,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.31326867313268675,compartment-specific contextual analysis
GSE30529,GSE30122,tubulointerstitial,R-HSA-170834,Signaling by TGF-beta Receptor Complex,94,92,0.19013457062335962,UP,monte_carlo,10000,0.011398860113988602,0.5217478252174782,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.07979202079792021,compartment-specific contextual analysis
GSE104948_H7,ERCB_H7,glomerular,R-HSA-166658,Complement cascade,137,65,0.4737453859143527,UP,monte_carlo,10000,0.0011998800119988001,0.10118988101189881,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.0020997900209979003,primary glomerular meta-analysis
GSE104948_H7,ERCB_H7,glomerular,R-HSA-9769740,Coagulation pathway,58,53,0.19018205216755257,UP,monte_carlo,10000,0.037396260373962605,0.6882311768823117,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.05235476452354765,primary glomerular meta-analysis
GSE104948_H7,ERCB_H7,glomerular,R-HSA-202733,Cell surface interactions at the vascular wall,216,142,0.6369907000162986,UP,monte_carlo,10000,9.999000099990002e-05,0.026797320267973202,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.00034996500349965005,primary glomerular meta-analysis
GSE104948_H7,ERCB_H7,glomerular,R-HSA-380108,Chemokine receptors bind chemokines,57,51,0.6266617161669467,UP,monte_carlo,10000,0.00019998000199980003,0.029697030296970302,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.00046662000466620004,primary glomerular meta-analysis
GSE104948_H7,ERCB_H7,glomerular,R-HSA-1474244,Extracellular matrix organization,321,280,0.7186258864135041,UP,monte_carlo,10000,9.999000099990002e-05,0.014198580141985802,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.00034996500349965005,primary glomerular meta-analysis
GSE104948_H7,ERCB_H7,glomerular,R-HSA-1234174,Cellular response to hypoxia,62,51,0.32128965306726615,UP,monte_carlo,10000,0.25737426257374263,0.294970502949705,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.25737426257374263,primary glomerular meta-analysis
GSE104948_H7,ERCB_H7,glomerular,R-HSA-170834,Signaling by TGF-beta Receptor Complex,94,89,0.3057295841078163,UP,monte_carlo,10000,0.11148885111488852,0.32966703329667035,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.13007032630070328,primary glomerular meta-analysis
GSE104954_H7,ERCB_H7,tubulointerstitial,R-HSA-166658,Complement cascade,137,65,0.5544237977894969,UP,monte_carlo,10000,0.0028997100289971,0.0115988401159884,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.0202979702029797,compartment-specific contextual analysis
GSE104954_H7,ERCB_H7,tubulointerstitial,R-HSA-9769740,Coagulation pathway,58,53,0.04538637695608004,UP,monte_carlo,10000,0.5714428557144285,0.9993000699930007,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.5714428557144285,compartment-specific contextual analysis
GSE104954_H7,ERCB_H7,tubulointerstitial,R-HSA-202733,Cell surface interactions at the vascular wall,216,142,0.3333221356155196,UP,monte_carlo,10000,0.0115988401159884,0.16368363163683633,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.027063960270639602,compartment-specific contextual analysis
GSE104954_H7,ERCB_H7,tubulointerstitial,R-HSA-380108,Chemokine receptors bind chemokines,57,51,0.5861245319264355,UP,monte_carlo,10000,0.007099290070992901,0.007599240075992401,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.024847515248475154,compartment-specific contextual analysis
GSE104954_H7,ERCB_H7,tubulointerstitial,R-HSA-1474244,Extracellular matrix organization,321,280,0.339431942435551,UP,monte_carlo,10000,0.017198280171982803,0.1504849515048495,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.030096990300969906,compartment-specific contextual analysis
GSE104954_H7,ERCB_H7,tubulointerstitial,R-HSA-1234174,Cellular response to hypoxia,62,51,-0.21953010331568393,DOWN,monte_carlo,10000,0.1845815418458154,0.49055094490550943,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.2153451321534513,compartment-specific contextual analysis
GSE104954_H7,ERCB_H7,tubulointerstitial,R-HSA-170834,Signaling by TGF-beta Receptor Complex,94,89,0.15213798978074758,UP,monte_carlo,10000,0.1543845615438456,0.7593240675932407,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.2153451321534513,compartment-specific contextual analysis
GSE142025_advanced,GSE142025,whole/cortical kidney,R-HSA-166658,Complement cascade,137,40,0.742123266491209,UP,monte_carlo,10000,9.999000099990002e-05,0.0006999300069993001,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.00023331000233310002,compartment-specific contextual analysis
GSE142025_advanced,GSE142025,whole/cortical kidney,R-HSA-9769740,Coagulation pathway,58,50,-0.332322050217227,DOWN,monte_carlo,10000,0.0037996200379962005,0.17618238176182383,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.005249475052494751,compartment-specific contextual analysis
GSE142025_advanced,GSE142025,whole/cortical kidney,R-HSA-202733,Cell surface interactions at the vascular wall,216,116,0.43958538967353017,UP,monte_carlo,10000,0.0004999500049995,0.04839516048395161,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.0008749125087491251,compartment-specific contextual analysis
GSE142025_advanced,GSE142025,whole/cortical kidney,R-HSA-380108,Chemokine receptors bind chemokines,57,46,0.8816516886858924,UP,monte_carlo,10000,9.999000099990002e-05,0.00019998000199980003,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.00023331000233310002,compartment-specific contextual analysis
GSE142025_advanced,GSE142025,whole/cortical kidney,R-HSA-1474244,Extracellular matrix organization,321,286,0.7903392891539788,UP,monte_carlo,10000,9.999000099990002e-05,0.00029997000299970003,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.00023331000233310002,compartment-specific contextual analysis
GSE142025_advanced,GSE142025,whole/cortical kidney,R-HSA-1234174,Cellular response to hypoxia,62,60,0.31837539700143747,UP,monte_carlo,10000,0.0912908709129087,0.20477952204779523,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.0912908709129087,compartment-specific contextual analysis
GSE142025_advanced,GSE142025,whole/cortical kidney,R-HSA-170834,Signaling by TGF-beta Receptor Complex,94,94,0.30499308261085667,UP,monte_carlo,10000,0.0044995500449955,0.23967603239676033,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.005249475052494751,compartment-specific contextual analysis
GSE166239,GSE166239,whole/cortical kidney,R-HSA-166658,Complement cascade,137,39,1.0818069687631418,UP,exact,924,0.0021645021645021645,0.0021645021645021645,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.0030303030303030303,compartment-specific contextual analysis
GSE166239,GSE166239,whole/cortical kidney,R-HSA-9769740,Coagulation pathway,58,42,0.27405324057567143,UP,exact,924,0.0021645021645021645,0.5606060606060606,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.0030303030303030303,compartment-specific contextual analysis
GSE166239,GSE166239,whole/cortical kidney,R-HSA-202733,Cell surface interactions at the vascular wall,216,108,0.864578292721437,UP,exact,924,0.0021645021645021645,0.017316017316017316,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.0030303030303030303,compartment-specific contextual analysis
GSE166239,GSE166239,whole/cortical kidney,R-HSA-380108,Chemokine receptors bind chemokines,57,27,1.6253546476217793,UP,exact,924,0.0021645021645021645,0.0021645021645021645,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.0030303030303030303,compartment-specific contextual analysis
GSE166239,GSE166239,whole/cortical kidney,R-HSA-1474244,Extracellular matrix organization,321,276,0.9734041187833803,UP,exact,924,0.0021645021645021645,0.006493506493506494,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.0030303030303030303,compartment-specific contextual analysis
GSE166239,GSE166239,whole/cortical kidney,R-HSA-1234174,Cellular response to hypoxia,62,59,-0.044027541339615804,DOWN,exact,924,0.8073593073593074,1.0,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.8073593073593074,compartment-specific contextual analysis
GSE166239,GSE166239,whole/cortical kidney,R-HSA-170834,Signaling by TGF-beta Receptor Complex,94,91,0.4676872408557031,UP,exact,924,0.004329004329004329,0.14935064935064934,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.005050505050505051,compartment-specific contextual analysis
GSE163603_interstitium,GSE163603,interstitium only,R-HSA-166658,Complement cascade,137,57,0.18201001272654668,UP,exact,5005,0.23736263736263735,0.6733266733266733,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.3907692307692308,compartment-specific contextual analysis
GSE163603_interstitium,GSE163603,interstitium only,R-HSA-9769740,Coagulation pathway,58,58,0.1283187684240966,UP,exact,5005,0.27912087912087913,0.8649350649350649,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.3907692307692308,compartment-specific contextual analysis
GSE163603_interstitium,GSE163603,interstitium only,R-HSA-202733,Cell surface interactions at the vascular wall,216,136,0.20651687470409477,UP,exact,5005,0.08711288711288712,0.5944055944055944,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.3048951048951049,compartment-specific contextual analysis
GSE163603_interstitium,GSE163603,interstitium only,R-HSA-380108,Chemokine receptors bind chemokines,57,57,0.17285840536858343,UP,exact,5005,0.46053946053946054,0.7050949050949051,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.46053946053946054,compartment-specific contextual analysis
GSE163603_interstitium,GSE163603,interstitium only,R-HSA-1474244,Extracellular matrix organization,321,321,0.18268577065035882,UP,exact,5005,0.16503496503496504,0.6721278721278722,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.38508158508158513,compartment-specific contextual analysis
GSE163603_interstitium,GSE163603,interstitium only,R-HSA-1234174,Cellular response to hypoxia,62,59,0.3079364429542005,UP,exact,5005,0.08391608391608392,0.2777222777222777,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.3048951048951049,compartment-specific contextual analysis
GSE163603_interstitium,GSE163603,interstitium only,R-HSA-170834,Signaling by TGF-beta Receptor Complex,94,94,0.16288439951184383,UP,exact,5005,0.35824175824175825,0.7418581418581418,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.41794871794871796,compartment-specific contextual analysis
GSE1009_donor_averaged,GSE1009,glomerular,R-HSA-166658,Complement cascade,137,53,0.17204532917029605,UP,exact,6,0.6666666666666666,0.6666666666666666,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.7777777777777777,small-sample glomerular sensitivity
GSE1009_donor_averaged,GSE1009,glomerular,R-HSA-9769740,Coagulation pathway,58,51,0.1927053157193704,UP,exact,6,0.3333333333333333,0.6666666666666666,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.4666666666666666,small-sample glomerular sensitivity
GSE1009_donor_averaged,GSE1009,glomerular,R-HSA-202733,Cell surface interactions at the vascular wall,216,115,1.0002251836484939,UP,exact,6,0.3333333333333333,0.3333333333333333,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.4666666666666666,small-sample glomerular sensitivity
GSE1009_donor_averaged,GSE1009,glomerular,R-HSA-380108,Chemokine receptors bind chemokines,57,51,0.7648130337676303,UP,exact,6,0.3333333333333333,0.3333333333333333,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.4666666666666666,small-sample glomerular sensitivity
GSE1009_donor_averaged,GSE1009,glomerular,R-HSA-1474244,Extracellular matrix organization,321,258,0.4303696061292771,UP,exact,6,0.3333333333333333,0.6666666666666666,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.4666666666666666,small-sample glomerular sensitivity
GSE1009_donor_averaged,GSE1009,glomerular,R-HSA-1234174,Cellular response to hypoxia,62,47,-0.2636789570945508,DOWN,exact,6,0.3333333333333333,0.6666666666666666,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.4666666666666666,small-sample glomerular sensitivity
GSE1009_donor_averaged,GSE1009,glomerular,R-HSA-170834,Signaling by TGF-beta Receptor Complex,94,82,-0.0010983844835325402,DOWN,exact,6,1.0,1.0,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,1.0,small-sample glomerular sensitivity
GSE111154,GSE111154,whole/cortical kidney,R-HSA-166658,Complement cascade,137,136,0.6189265005482378,UP,exact,70,0.08571428571428572,0.17142857142857143,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.19999999999999998,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,R-HSA-9769740,Coagulation pathway,58,58,0.08438968203723013,UP,exact,70,0.22857142857142856,1.0,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.39999999999999997,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,R-HSA-202733,Cell surface interactions at the vascular wall,216,213,0.36871813236319106,UP,exact,70,0.05714285714285714,0.6285714285714286,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.19999999999999998,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,R-HSA-380108,Chemokine receptors bind chemokines,57,53,-0.09713715808769287,DOWN,exact,70,0.6,1.0,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.7000000000000001,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,R-HSA-1474244,Extracellular matrix organization,321,315,0.33857367080004463,UP,exact,70,0.02857142857142857,0.7428571428571429,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.19999999999999998,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,R-HSA-1234174,Cellular response to hypoxia,62,59,0.05879331624608432,UP,exact,70,0.9142857142857143,1.0,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.9142857142857143,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,R-HSA-170834,Signaling by TGF-beta Receptor Complex,94,94,-0.11661432805907758,DOWN,exact,70,0.34285714285714286,1.0,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.48,compartment-specific contextual analysis
GSE199838,GSE199838,whole/cortical kidney,R-HSA-166658,Complement cascade,137,119,1.6096632214902749,UP,exact,20,0.1,0.1,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.35000000000000003,compartment-specific contextual analysis
GSE199838,GSE199838,whole/cortical kidney,R-HSA-9769740,Coagulation pathway,58,55,-0.36683343329668494,DOWN,exact,20,0.2,0.7,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.46666666666666673,compartment-specific contextual analysis
GSE199838,GSE199838,whole/cortical kidney,R-HSA-202733,Cell surface interactions at the vascular wall,216,197,0.8293938648201116,UP,exact,20,0.1,0.2,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.35000000000000003,compartment-specific contextual analysis
GSE199838,GSE199838,whole/cortical kidney,R-HSA-380108,Chemokine receptors bind chemokines,57,55,0.3877780220069025,UP,exact,20,0.4,0.6,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.7000000000000001,compartment-specific contextual analysis
GSE199838,GSE199838,whole/cortical kidney,R-HSA-1474244,Extracellular matrix organization,321,316,-0.17854788525130239,DOWN,exact,20,0.8,1.0,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.8,compartment-specific contextual analysis
GSE199838,GSE199838,whole/cortical kidney,R-HSA-1234174,Cellular response to hypoxia,62,62,-0.11484440908995681,DOWN,exact,20,0.7,1.0,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.8,compartment-specific contextual analysis
GSE199838,GSE199838,whole/cortical kidney,R-HSA-170834,Signaling by TGF-beta Receptor Complex,94,94,-0.1460195874465635,DOWN,exact,20,0.8,1.0,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.8,compartment-specific contextual analysis
